"iid","partner_id","match","is_male","would_meet_partner_again","partner_attractiveness","partner_sincerity","partner_intelligence","partner_fun","partner_ambition","partner_shared_interests","liking_towards_partner","how_probable_partner_will_say_yes","has_met_partner_before","estimated_num_matches"
1,11,FALSE,FALSE,TRUE,6,9,7,7,6,5,7,6,FALSE,4
1,12,FALSE,FALSE,TRUE,7,8,7,8,5,6,7,5,TRUE,4
1,13,TRUE,FALSE,TRUE,5,8,9,8,5,7,7,NA,TRUE,4
1,14,TRUE,FALSE,TRUE,7,6,8,7,6,8,7,6,FALSE,4
1,15,TRUE,FALSE,TRUE,5,6,7,7,6,6,6,6,FALSE,4
1,16,FALSE,FALSE,FALSE,4,9,7,4,6,4,6,5,FALSE,4
1,17,FALSE,FALSE,TRUE,7,6,7,4,6,7,6,5,FALSE,4
1,18,FALSE,FALSE,FALSE,4,9,7,6,5,6,6,7,NA,4
1,19,TRUE,FALSE,TRUE,7,6,8,9,8,8,7,7,FALSE,4
1,20,FALSE,FALSE,TRUE,5,6,6,8,10,8,6,6,FALSE,4
2,11,FALSE,FALSE,FALSE,5,7,8,4,6,3,6,4,FALSE,3
2,12,FALSE,FALSE,FALSE,8,5,6,6,9,6,7,3,FALSE,3
2,13,FALSE,FALSE,FALSE,5,8,9,6,3,4,6,7,FALSE,3
2,14,TRUE,FALSE,TRUE,7,9,7,6,5,7,7,8,FALSE,3
2,15,FALSE,FALSE,FALSE,6,8,7,9,7,8,8,6,TRUE,3
2,16,FALSE,FALSE,FALSE,8,7,8,3,6,2,6,5,FALSE,3
2,17,FALSE,FALSE,TRUE,7,5,9,6,7,9,8,7,FALSE,3
2,18,FALSE,FALSE,FALSE,5,8,7,5,9,5,5,6,FALSE,3
2,19,TRUE,FALSE,TRUE,7,6,8,9,4,5,5,6,FALSE,3
2,20,FALSE,FALSE,TRUE,6,7,8,7,9,8,8,7,FALSE,3
3,11,FALSE,FALSE,FALSE,7,9,10,7,8,9,8,7,TRUE,NA
3,12,FALSE,FALSE,FALSE,9,7,9,8,9,7,8,7,FALSE,NA
3,13,FALSE,FALSE,FALSE,7,9,9,7,9,7,8,7,FALSE,NA
3,14,FALSE,FALSE,FALSE,9,7,9,7,9,7,8,7,FALSE,NA
3,15,FALSE,FALSE,FALSE,9,10,10,10,10,10,9,NA,FALSE,NA
3,16,FALSE,FALSE,FALSE,8,10,10,7,9,9,8,NA,FALSE,NA
3,17,FALSE,FALSE,FALSE,8,9,10,7,7,9,8,7,FALSE,NA
3,18,FALSE,FALSE,FALSE,7,9,9,8,9,7,8,7,FALSE,NA
3,19,FALSE,FALSE,FALSE,9,9,9,9,9,9,9,7,FALSE,NA
3,20,FALSE,FALSE,FALSE,8,7,9,7,9,7,8,7,FALSE,NA
4,11,FALSE,FALSE,FALSE,4,10,8,5,8,7,6,7,FALSE,2
4,12,FALSE,FALSE,FALSE,8,7,8,10,7,8,8,1,TRUE,2
4,13,FALSE,FALSE,FALSE,4,7,8,8,6,7,4,1,FALSE,2
4,14,TRUE,FALSE,TRUE,8,10,7,10,7,10,8,10,TRUE,2
4,15,FALSE,FALSE,FALSE,6,9,8,9,8,9,7,7,FALSE,2
4,16,FALSE,FALSE,FALSE,5,10,8,4,8,2,4,3,FALSE,2
4,17,FALSE,FALSE,FALSE,7,10,10,7,10,5,5,1,FALSE,2
4,18,FALSE,FALSE,FALSE,5,9,9,5,9,7,6,6,FALSE,2
4,19,TRUE,FALSE,TRUE,9,8,10,10,7,8,8,8,FALSE,2
4,20,FALSE,FALSE,TRUE,8,9,10,10,8,8,10,8,FALSE,2
5,11,FALSE,FALSE,FALSE,5,8,8,2,2,2,7,5,FALSE,NA
5,12,FALSE,FALSE,FALSE,8,6,6,5,5,5,6,4,TRUE,NA
5,13,FALSE,FALSE,FALSE,4,6,8,8,6,5,6,5,TRUE,NA
5,14,TRUE,FALSE,TRUE,8,5,5,7,7,9,8,2,TRUE,NA
5,15,FALSE,FALSE,FALSE,6,7,7,5,4,8,7,4,FALSE,NA
5,16,FALSE,FALSE,TRUE,5,6,7,5,7,8,7,3,FALSE,NA
5,17,FALSE,FALSE,TRUE,6,6,8,5,5,6,6,3,FALSE,NA
5,18,FALSE,FALSE,TRUE,5,5,7,6,7,5,6,4,FALSE,NA
5,19,TRUE,FALSE,TRUE,7,5,7,8,7,9,9,4,FALSE,NA
5,20,FALSE,FALSE,TRUE,9,6,7,9,6,5,10,3,FALSE,NA
6,11,FALSE,FALSE,TRUE,6,9,7,6,7,6,6,6,FALSE,4
6,12,FALSE,FALSE,TRUE,6,9,9,6,8,2,7,6,FALSE,4
6,13,FALSE,FALSE,FALSE,4,7,9,4,3,2,6,2,TRUE,4
6,14,TRUE,FALSE,TRUE,8,6,7,8,2,8,9,4,FALSE,4
6,15,FALSE,FALSE,FALSE,5,4,8,8,4,2,4,3,TRUE,4
6,16,FALSE,FALSE,FALSE,3,7,6,1,1,1,2,2,FALSE,4
6,17,FALSE,FALSE,TRUE,8,8,8,8,3,4,8,7,FALSE,4
6,18,FALSE,FALSE,FALSE,4,8,9,2,8,3,5,5,FALSE,4
6,19,TRUE,FALSE,TRUE,7,6,8,8,6,9,9,6,FALSE,4
6,20,FALSE,FALSE,TRUE,8,9,9,9,10,7,9,8,FALSE,4
7,11,FALSE,FALSE,FALSE,4,8,8,5,7,4,7,4,FALSE,2
7,12,FALSE,FALSE,FALSE,6,6,8,4,9,4,7,3,TRUE,2
7,13,FALSE,FALSE,FALSE,3,6,8,7,8,8,7,8,TRUE,2
7,14,TRUE,FALSE,TRUE,7,8,8,7,7,6,8,6,TRUE,2
7,15,FALSE,FALSE,FALSE,4,7,7,4,8,5,5,6,TRUE,2
7,16,FALSE,FALSE,FALSE,4,8,7,4,5,4,5,5,FALSE,2
7,17,FALSE,FALSE,TRUE,7,7,8,7,7,7,8,7,FALSE,2
7,18,FALSE,FALSE,FALSE,5,7,8,5,9,5,5,7,FALSE,2
