"iid","wave","is_male","attractiveness","sincerity","intelligence","fun","ambition","shared_interests"
1,1,FALSE,15,20,20,15,15,15
2,1,FALSE,45,5,25,20,0,5
3,1,FALSE,35,10,35,10,10,0
4,1,FALSE,20,20,20,20,10,10
5,1,FALSE,20,5,25,25,10,15
6,1,FALSE,10,25,20,25,5,15
7,1,FALSE,15,15,25,20,15,10
8,1,FALSE,9.09,18.18,27.27,18.18,18.18,9.09
9,1,FALSE,20,10,20,30,10,10
10,1,FALSE,15,15,15,40,10,5
11,1,TRUE,35,20,20,20,0,5
12,1,TRUE,60,0,0,40,0,0
13,1,TRUE,19,18,19,18,14,12
14,1,TRUE,30,5,15,40,5,5
15,1,TRUE,30,10,20,10,10,20
16,1,TRUE,50,0,30,10,0,10
17,1,TRUE,35,15,25,10,5,10
18,1,TRUE,33.33,11.11,11.11,11.11,11.11,22.22
19,1,TRUE,50,0,25,10,0,15
20,1,TRUE,100,0,0,0,0,0
21,2,FALSE,12,18,20,16,16,18
22,2,FALSE,20,20,20,10,10,20
23,2,FALSE,10,20,40,10,10,10
24,2,FALSE,10,20,20,15,20,15
25,2,FALSE,20,20,15,15,15,15
26,2,FALSE,20,20,20,15,15,10
27,2,FALSE,17,10,18,20,25,10
28,2,FALSE,NA,NA,NA,NA,NA,NA
29,2,FALSE,20,22,18,15,15,10
30,2,FALSE,10,20,20,20,20,10
31,2,FALSE,35,10,20,20,10,5
32,2,FALSE,50,0,50,0,0,0
33,2,FALSE,30,20,30,10,0,10
34,2,FALSE,30,5,30,15,15,5
35,2,FALSE,20,23,23,22,7,5
36,2,FALSE,20,25,20,15,15,5
37,2,FALSE,10,10,30,25,10,15
38,2,FALSE,50,10,20,10,10,0
39,2,FALSE,20,20,20,15,15,10
40,2,TRUE,25,20,25,20,10,0
41,2,TRUE,30,20,10,30,0,10
42,2,TRUE,20,25,20,15,10,10
43,2,TRUE,25,35,30,10,0,0
44,2,TRUE,25,15,25,25,15,15
45,2,TRUE,25,15,25,15,0,20
46,2,TRUE,20,35,20,10,10,5
47,2,TRUE,20,20,25,25,5,5
48,2,TRUE,30,15,25,25,5,0
49,2,TRUE,20,20,20,20,5,15
50,2,TRUE,35,10,20,15,10,10
