"iid","wave","is_male","attractiveness","sincerity","intelligence","fun","ambition","shared_interests"
1,1,FALSE,19.44,16.67,13.89,22.22,11.11,16.67
2,1,FALSE,18.92,18.92,21.62,27.03,5.41,8.11
3,1,FALSE,NA,NA,NA,NA,NA,NA
4,1,FALSE,24.14,13.79,20.69,27.59,10.34,3.45
5,1,FALSE,15.79,13.16,18.42,15.79,15.79,21.05
6,1,FALSE,10.26,25.64,20.51,23.08,2.56,17.95
7,1,FALSE,NA,NA,NA,NA,NA,NA
8,1,FALSE,NA,NA,NA,NA,NA,NA
9,1,FALSE,13.33,17.78,22.22,22.22,13.33,11.11
10,1,FALSE,35.71,3.57,10.71,28.57,3.57,17.86
11,1,TRUE,19.51,17.07,17.07,17.07,12.2,17.07
12,1,TRUE,NA,NA,NA,NA,NA,NA
13,1,TRUE,20,20,20,20,7.5,12.5
14,1,TRUE,20,14.29,17.14,22.86,14.29,11.43
15,1,TRUE,21.21,18.18,12.12,21.21,6.06,21.21
16,1,TRUE,19.51,14.63,17.07,17.07,14.63,17.07
17,1,TRUE,30,16.67,20,20,6.67,6.67
18,1,TRUE,24.39,12.2,17.07,14.63,14.63,17.07
19,1,TRUE,NA,NA,NA,NA,NA,NA
20,1,TRUE,NA,NA,NA,NA,NA,NA
21,2,FALSE,20,15,20,15,10,20
22,2,FALSE,20,20,10,20,10,20
23,2,FALSE,10,10,30,20,10,20
24,2,FALSE,15,15,10,25,10,25
25,2,FALSE,35,15,10,15,10,15
26,2,FALSE,NA,NA,NA,NA,NA,NA
27,2,FALSE,20,20,15,15,15,15
28,2,FALSE,NA,NA,NA,NA,NA,NA
29,2,FALSE,35,20,15,20,10,0
30,2,FALSE,20,15,15,20,10,20
31,2,FALSE,50,5,5,25,5,10
32,2,FALSE,75,10,15,0,0,0
33,2,FALSE,30,0,25,30,0,15
34,2,FALSE,30,0,30,20,20,0
35,2,FALSE,25,15,20,25,8,7
36,2,FALSE,40,10,20,20,5,5
37,2,FALSE,20,10,20,25,10,15
38,2,FALSE,50,20,10,5,5,10
39,2,FALSE,20,20,20,20,10,10
40,2,TRUE,20,30,30,20,0,0
41,2,TRUE,50,10,10,10,10,10
42,2,TRUE,30,30,10,15,10,5
43,2,TRUE,40,30,5,20,5,0
44,2,TRUE,60,5,10,10,5,10
45,2,TRUE,25,25,0,25,0,25
46,2,TRUE,75,5,5,5,5,5
47,2,TRUE,30,20,20,20,0,10
48,2,TRUE,40,10,0,40,0,10
49,2,TRUE,30,15,15,25,5,10
50,2,TRUE,75,5,5,5,5,5
51,2,TRUE,40,5,10,5,10,30
52,2,TRUE,30,20,10,20,10,10
53,2,TRUE,55,10,10,15,0,10
54,2,TRUE,40,25,20,15,0,0
55,2,TRUE,20,20,20,20,10,10
56,3,FALSE,20,15,15,15,20,15
57,3,FALSE,10,20,20,15,20,10
58,3,FALSE,15,15,30,30,1,9
59,3,FALSE,NA,NA,NA,NA,NA,NA
60,3,FALSE,NA,NA,NA,NA,NA,NA
61,3,FALSE,10,20,25,10,10,25
62,3,FALSE,50,10,10,10,10,10
63,3,FALSE,20,0,30,50,0,0
64,3,FALSE,15,20,20,15,15,15
65,3,FALSE,17,17,17,17,17,17
66,3,TRUE,20,20,20,20,10,10
67,3,TRUE,30,10,10,30,10,10
68,3,TRUE,25,10,20,20,5,20
69,3,TRUE,60,5,15,15,0,0
70,3,TRUE,30,10,20,20,10,10
71,3,TRUE,70,20,0,10,0,0
72,3,TRUE,22,17,17,17,10,17
73,3,TRUE,50,10,10,25,5,0
74,3,TRUE,40,0,20,40,0,0
75,3,TRUE,20,20,15,20,5,20
76,4,FALSE,30,0,40,30,0,0
77,4,FALSE,30,15,15,20,5,15
78,4,FALSE,25,25,10,5,10,25
79,4,FALSE,NA,NA,NA,NA,NA,NA
80,4,FALSE,30,10,20,20,10,10
81,4,FALSE,30,20,15,15,10,10
82,4,FALSE,15,20,20,20,10,15
83,4,FALSE,10,25,20,15,10,20
84,4,FALSE,NA,20,20,40,0,20
85,4,FALSE,20,20,15,20,10,15
86,4,FALSE,30,5,20,20,5,20
87,4,FALSE,25,15,20,25,10,5
88,4,FALSE,20,20,15,15,10,20
89,4,FALSE,35,15,15,15,15,5
90,4,FALSE,15,20,20,15,10,20
91,4,FALSE,20,2,30,35,3,10
92,4,FALSE,20,20,15,20,10,15
93,4,FALSE,17,17,11,28,10,17
94,4,TRUE,20,20,20,10,20,10
95,4,TRUE,18,15,18,20,12,17
96,4,TRUE,15,20,15,20,15,15
97,4,TRUE,55,8,14,13,0,10
98,4,TRUE,30,20,15,20,0,15
99,4,TRUE,45,20,15,20,0,0
100,4,TRUE,25,30,15,20,0,10
101,4,TRUE,40,10,10,20,5,15
102,4,TRUE,50,20,0,30,0,0
103,4,TRUE,50,5,20,10,5,10
104,4,TRUE,40,10,10,30,10,0
105,4,TRUE,30,10,20,20,10,10
106,4,TRUE,15,30,30,10,5,10
107,4,TRUE,20,15,20,25,5,15
108,4,TRUE,10,10,40,30,0,10
109,4,TRUE,20,15,25,15,5,20
110,4,TRUE,30,10,10,20,10,20
111,4,TRUE,NA,NA,NA,NA,NA,NA
112,5,FALSE,20,10,15,20,15,20
113,5,FALSE,10,20,15,25,5,30
114,5,FALSE,20,20,20,20,10,10
115,5,FALSE,20,5,30,20,10,15
116,5,FALSE,30,10,10,30,10,10
117,5,FALSE,25,10,25,15,10,15
119,5,FALSE,50,10,10,10,5,15
120,5,FALSE,20,10,40,20,5,5
121,5,FALSE,50,20,0,20,10,0
122,5,TRUE,50,10,10,10,10,10
123,5,TRUE,80,4,5,3,4,4
124,5,TRUE,50,10,10,10,10,10
125,5,TRUE,20,10,25,15,10,20
126,5,TRUE,20,20,20,30,0,10
127,5,TRUE,40,10,10,20,0,20
128,5,TRUE,30,15,15,20,10,10
129,5,TRUE,30,5,20,30,5,10
130,5,TRUE,60,5,20,5,5,5
131,5,TRUE,NA,NA,NA,NA,NA,NA
132,6,FALSE,15.79,17.54,15.79,17.54,17.54,15.79
133,6,FALSE,15.22,17.39,17.39,17.39,15.22,17.39
134,6,FALSE,10,18,18,18,18,18
135,6,FALSE,17.78,22.22,20,13.33,13.33,13.33
136,6,FALSE,NA,NA,NA,NA,NA,NA
137,6,TRUE,NA,NA,NA,NA,NA,NA
138,6,TRUE,19.57,17.39,19.57,19.57,13.04,10.87
139,6,TRUE,21.43,21.43,14.29,21.43,9.52,11.9
140,6,TRUE,20.51,15.38,17.95,17.95,12.82,15.38
141,6,TRUE,19.15,19.15,17.02,17.02,10.64,17.02
142,7,FALSE,14.29,18.37,20.41,20.41,14.29,12.24
143,7,FALSE,13.73,17.65,17.65,15.69,17.65,17.65
144,7,FALSE,16.67,16.67,16.67,18.75,16.67,14.58
145,7,FALSE,15.69,17.65,19.61,15.69,15.69,15.69
146,7,FALSE,NA,NA,NA,NA,NA,NA
147,7,FALSE,18.75,16.67,18.75,16.67,16.67,12.5
148,7,FALSE,NA,NA,NA,NA,NA,NA
149,7,FALSE,16.22,13.51,18.92,18.92,16.22,16.22
150,7,FALSE,14,18,18,18,16,16
151,7,FALSE,15.38,17.31,17.31,17.31,15.38,17.31
152,7,FALSE,16.67,18.75,18.75,14.58,16.67,14.58
153,7,FALSE,13.95,16.28,18.6,16.28,18.6,16.28
154,7,FALSE,NA,NA,NA,NA,NA,NA
155,7,FALSE,16.67,18.75,18.75,14.58,16.67,14.58
156,7,FALSE,14.29,16.33,18.37,18.37,18.37,14.29
157,7,FALSE,14.58,16.67,16.67,18.75,18.75,14.58
158,7,TRUE,17.78,20,20,17.78,11.11,13.33
159,7,TRUE,16.67,18.75,18.75,16.67,14.58,14.58
160,7,TRUE,17.31,19.23,17.31,15.38,15.38,15.38
161,7,TRUE,16,18,18,20,12,16
162,7,TRUE,15.22,15.22,19.57,17.39,13.04,19.57
163,7,TRUE,14.89,17.02,19.15,19.15,14.89,14.89
164,7,TRUE,19.51,21.95,21.95,17.07,7.32,12.2
165,7,TRUE,19.51,19.51,21.95,14.63,7.32,17.07
166,7,TRUE,25,20,20,25,5,5
167,7,TRUE,19.05,14.29,19.05,16.67,16.67,14.29
