"iid","is_male","attractiveness","sincerity","intelligence","fun","ambition","shared_interests"
1,FALSE,15,20,20,15,15,15
2,FALSE,30,5,40,15,0,10
3,FALSE,NA,NA,NA,NA,NA,NA
4,FALSE,20,20,20,20,0,20
5,FALSE,30,10,20,20,10,10
6,FALSE,NA,NA,NA,NA,NA,NA
7,FALSE,NA,NA,NA,NA,NA,NA
8,FALSE,NA,NA,NA,NA,NA,NA
9,FALSE,NA,NA,NA,NA,NA,NA
10,FALSE,NA,NA,NA,NA,NA,NA
11,TRUE,35,25,15,15,0,10
12,TRUE,NA,NA,NA,NA,NA,NA
13,TRUE,NA,NA,NA,NA,NA,NA
14,TRUE,30,10,20,30,5,5
15,TRUE,30,10,20,20,5,15
16,TRUE,50,0,20,10,10,10
17,TRUE,40,20,25,5,5,5
18,TRUE,35,10,15,15,15,10
19,TRUE,NA,NA,NA,NA,NA,NA
20,TRUE,NA,NA,NA,NA,NA,NA
21,FALSE,15,20,20,20,10,15
22,FALSE,15,15,20,15,15,20
23,FALSE,25,10,30,15,10,10
24,FALSE,NA,NA,NA,NA,NA,NA
25,FALSE,20,20,10,15,15,20
26,FALSE,NA,NA,NA,NA,NA,NA
27,FALSE,NA,NA,NA,NA,NA,NA
28,FALSE,NA,NA,NA,NA,NA,NA
29,FALSE,40,20,15,15,5,5
30,FALSE,NA,NA,NA,NA,NA,NA
31,FALSE,35,5,20,20,15,5
32,FALSE,50,0,30,20,0,0
33,FALSE,30,10,40,5,5,10
34,FALSE,NA,NA,NA,NA,NA,NA
35,FALSE,NA,NA,NA,NA,NA,NA
36,FALSE,NA,NA,NA,NA,NA,NA
37,FALSE,20,10,25,20,10,15
38,FALSE,NA,NA,NA,NA,NA,NA
39,FALSE,20,20,30,10,10,10
40,TRUE,NA,NA,NA,NA,NA,NA
41,TRUE,NA,NA,NA,NA,NA,NA
42,TRUE,15,30,15,15,10,15
43,TRUE,30,30,30,10,0,0
44,TRUE,20,15,20,15,20,10
45,TRUE,30,20,20,10,10,10
46,TRUE,70,10,10,10,0,0
47,TRUE,NA,NA,NA,NA,NA,NA
48,TRUE,30,10,10,30,10,10
49,TRUE,NA,NA,NA,NA,NA,NA
50,TRUE,NA,NA,NA,NA,NA,NA
51,TRUE,NA,NA,NA,NA,NA,NA
52,TRUE,NA,NA,NA,NA,NA,NA
53,TRUE,35,5,20,20,5,15
54,TRUE,NA,NA,NA,NA,NA,NA
55,TRUE,NA,NA,NA,NA,NA,NA
56,FALSE,15,18,18,17,18,14
57,FALSE,10,15,25,25,15,10
58,FALSE,NA,NA,NA,NA,NA,NA
59,FALSE,NA,NA,NA,NA,NA,NA
60,FALSE,NA,NA,NA,NA,NA,NA
61,FALSE,0,20,25,15,15,25
62,FALSE,NA,NA,NA,NA,NA,NA
63,FALSE,25,5,40,20,5,5
64,FALSE,15,20,20,15,15,15
65,FALSE,15,17,17,17,17,17
66,TRUE,NA,NA,NA,NA,NA,NA
67,TRUE,NA,NA,NA,NA,NA,NA
68,TRUE,NA,NA,NA,NA,NA,NA
69,TRUE,50,10,30,10,0,0
70,TRUE,NA,NA,NA,NA,NA,NA
71,TRUE,NA,NA,NA,NA,NA,NA
72,TRUE,20,20,15,20,10,15
73,TRUE,NA,NA,NA,NA,NA,NA
74,TRUE,30,10,25,30,0,5
75,TRUE,NA,NA,NA,NA,NA,NA
76,FALSE,20,5,30,20,5,20
77,FALSE,15,15,20,25,15,10
78,FALSE,18,18,15,14,15,20
79,FALSE,NA,NA,NA,NA,NA,NA
80,FALSE,20,10,20,20,20,10
81,FALSE,15,15,15,20,20,15
82,FALSE,20,15,20,15,15,15
83,FALSE,10,30,25,5,15,15
84,FALSE,30,10,20,20,0,20
85,FALSE,20,25,20,20,10,5
86,FALSE,NA,NA,NA,NA,NA,NA
87,FALSE,50,15,20,15,20,10
88,FALSE,NA,NA,NA,NA,NA,NA
89,FALSE,60,10,10,5,10,5
90,FALSE,10,20,20,20,10,20
91,FALSE,25,2,30,30,5,8
92,FALSE,15,20,15,20,15,15
93,FALSE,18,18,18,18,10,18
94,TRUE,NA,NA,NA,NA,NA,NA
95,TRUE,NA,NA,NA,NA,NA,NA
96,TRUE,NA,NA,NA,NA,NA,NA
97,TRUE,50,5,15,20,5,5
98,TRUE,40,15,10,15,10,10
99,TRUE,NA,NA,NA,NA,NA,NA
100,TRUE,20,25,25,15,10,5
101,TRUE,NA,NA,NA,NA,NA,NA
102,TRUE,50,10,20,20,0,0
103,TRUE,40,10,20,10,10,10
104,TRUE,NA,NA,NA,NA,NA,NA
105,TRUE,40,10,20,20,5,5
106,TRUE,20,20,35,5,10,10
107,TRUE,NA,NA,NA,NA,NA,NA
108,TRUE,5,25,45,5,0,20
109,TRUE,NA,NA,NA,NA,NA,NA
110,TRUE,20,15,20,15,15,15
111,TRUE,NA,NA,NA,NA,NA,NA
112,FALSE,NA,NA,NA,NA,NA,NA
113,FALSE,10,20,15,25,10,20
114,FALSE,NA,NA,NA,NA,NA,NA
115,FALSE,20,10,30,20,10,10
116,FALSE,15,15,20,20,15,15
117,FALSE,18,14,20,18,17,13
119,FALSE,NA,NA,NA,NA,NA,NA
120,FALSE,25,5,25,20,20,5
121,FALSE,NA,NA,NA,NA,NA,NA
122,TRUE,50,10,10,10,10,10
123,TRUE,NA,NA,NA,NA,NA,NA
124,TRUE,NA,NA,NA,NA,NA,NA
125,TRUE,NA,NA,NA,NA,NA,NA
126,TRUE,20,25,15,15,10,15
127,TRUE,40,20,20,10,5,5
128,TRUE,50,10,10,20,5,5
129,TRUE,NA,NA,NA,NA,NA,NA
130,TRUE,NA,NA,NA,NA,NA,NA
131,TRUE,40,20,20,10,5,5
132,FALSE,NA,NA,NA,NA,NA,NA
133,FALSE,11.36,18.18,18.18,18.18,15.91,18.18
134,FALSE,9.52,19.05,19.05,19.05,19.05,14.29
135,FALSE,17.02,21.28,19.15,14.89,12.77,14.89
136,FALSE,12.96,18.52,18.52,18.52,18.52,12.96
137,TRUE,NA,NA,NA,NA,NA,NA
138,TRUE,NA,NA,NA,NA,NA,NA
139,TRUE,18.6,18.6,20.93,20.93,6.98,13.95
140,TRUE,NA,NA,NA,NA,NA,NA
141,TRUE,NA,NA,NA,NA,NA,NA
142,FALSE,15.91,18.18,20.45,20.45,13.64,11.36
143,FALSE,NA,NA,NA,NA,NA,NA
144,FALSE,17.78,15.56,17.78,17.78,15.56,15.56
145,FALSE,15.09,16.98,18.87,16.98,15.09,16.98
146,FALSE,NA,NA,NA,NA,NA,NA
147,FALSE,15.69,15.69,19.61,17.65,17.65,13.73
148,FALSE,NA,NA,NA,NA,NA,NA
149,FALSE,15.22,17.39,17.39,17.39,15.22,17.39
150,FALSE,10.87,19.57,17.39,19.57,15.22,17.39
151,FALSE,15.38,19.23,17.31,19.23,13.46,15.38
152,FALSE,15.22,17.39,17.39,15.22,17.39,17.39
153,FALSE,11.9,16.67,19.05,16.67,19.05,16.67
154,FALSE,15.38,17.31,17.31,17.31,17.31,15.38
155,FALSE,NA,NA,NA,NA,NA,NA
156,FALSE,NA,NA,NA,NA,NA,NA
157,FALSE,NA,NA,NA,NA,NA,NA
158,TRUE,16.28,18.6,18.6,16.28,11.63,18.6
