"iid","is_male","satisfaction_of_matches","four_minutes_length_too_little","four_minutes_length_too_much","four_minutes_length_just_right","num_speed_dates_too_few","num_speed_dates_too_many","num_speed_dates_just_right"
1,FALSE,6,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE
2,FALSE,5,FALSE,TRUE,FALSE,NA,NA,NA
3,FALSE,NA,NA,NA,NA,NA,NA,NA
4,FALSE,4,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE
5,FALSE,7,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE
6,FALSE,3,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE
7,FALSE,NA,NA,NA,NA,NA,NA,NA
8,FALSE,NA,NA,NA,NA,NA,NA,NA
9,FALSE,6,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE
10,FALSE,2,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE
11,TRUE,7,FALSE,TRUE,FALSE,NA,NA,NA
12,TRUE,NA,NA,NA,NA,NA,NA,NA
13,TRUE,10,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE
14,TRUE,6,FALSE,FALSE,TRUE,NA,NA,NA
15,TRUE,8,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE
16,TRUE,7,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE
17,TRUE,5,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE
18,TRUE,5,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE
19,TRUE,NA,NA,NA,NA,NA,NA,NA
20,TRUE,NA,NA,NA,NA,NA,NA,NA
21,FALSE,6,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE
22,FALSE,6,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE
23,FALSE,7,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE
24,FALSE,3,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE
25,FALSE,3,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE
26,FALSE,NA,NA,NA,NA,NA,NA,NA
27,FALSE,3,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE
28,FALSE,NA,NA,NA,NA,NA,NA,NA
29,FALSE,6,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE
30,FALSE,3,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE
