"iid","wave","is_male","attractiveness","sincerity","intelligence","fun","ambition","shared_interests"
1,1,FALSE,35,20,15,20,5,5
2,1,FALSE,65,0,10,25,0,0
3,1,FALSE,50,0,20,30,0,0
4,1,FALSE,30,10,15,30,5,10
5,1,FALSE,50,10,10,20,5,5
6,1,FALSE,25,10,10,25,10,20
7,1,FALSE,30,12,13,25,10,10
8,1,FALSE,30,10,20,30,5,5
9,1,FALSE,30,20,10,20,10,10
10,1,FALSE,45,10,15,20,5,5
11,1,TRUE,25,5,20,20,25,5
12,1,TRUE,25,15,25,20,15,0
13,1,TRUE,20,16,16,18,16,14
14,1,TRUE,20,15,20,20,5,20
15,1,TRUE,20,20,20,20,10,10
16,1,TRUE,50,5,30,5,5,5
17,1,TRUE,25,20,20,20,10,5
18,1,TRUE,10,10,20,25,25,10
19,1,TRUE,40,15,20,10,10,5
20,1,TRUE,50,10,10,10,10,10
21,2,FALSE,35,15,10,15,5,20
22,2,FALSE,50,10,10,10,10,10
23,2,FALSE,40,5,20,20,5,10
24,2,FALSE,35,10,15,20,10,10
25,2,FALSE,30,15,10,20,10,15
26,2,FALSE,25,10,10,25,20,10
27,2,FALSE,30,5,15,20,10,20
28,2,FALSE,NA,NA,NA,NA,NA,NA
29,2,FALSE,35,15,10,20,15,5
30,2,FALSE,35,5,15,20,10,15
31,2,FALSE,40,10,10,25,5,10
32,2,FALSE,95,0,0,5,0,0
33,2,FALSE,95,1,1,1,1,1
34,2,FALSE,20,20,25,20,5,10
35,2,FALSE,40,10,15,15,10,10
36,2,FALSE,40,5,10,30,5,10
37,2,FALSE,30,10,15,20,10,15
38,2,FALSE,70,5,5,15,0,5
39,2,FALSE,55,5,10,15,5,10
40,2,TRUE,40,0,30,20,10,0
41,2,TRUE,40,30,0,30,0,0
42,2,TRUE,25,10,10,30,5,20
43,2,TRUE,20,25,20,20,5,10
44,2,TRUE,50,5,15,20,5,5
45,2,TRUE,20,20,20,10,10,20
46,2,TRUE,20,20,20,25,5,10
47,2,TRUE,25,20,20,15,15,5
48,2,TRUE,30,15,25,25,5,0
49,2,TRUE,30,15,15,15,15,10
50,2,TRUE,60,10,5,5,10,10
51,2,TRUE,25,5,15,20,30,5
52,2,TRUE,10,15,20,20,25,10
53,2,TRUE,30,15,20,15,10,10
54,2,TRUE,20,30,10,20,10,10
55,2,TRUE,20,20,20,10,20,10
56,3,FALSE,32,10,12,27,7,12
57,3,FALSE,10,20,20,20,20,10
58,3,FALSE,NA,NA,NA,NA,NA,NA
59,3,FALSE,NA,NA,NA,NA,NA,NA
60,3,FALSE,60,10,10,10,5,5
61,3,FALSE,40,12,12,12,12,12
62,3,FALSE,60,5,5,10,10,10
63,3,FALSE,50,5,20,15,0,10
64,3,FALSE,20,15,15,20,15,15
65,3,FALSE,20,18,18,14,15,15
66,3,TRUE,15,20,20,20,10,15
67,3,TRUE,17,20,17,20,11,15
68,3,TRUE,18,15,17,14,20,16
69,3,TRUE,20,10,40,20,10,0
70,3,TRUE,20,5,25,30,15,5
71,3,TRUE,80,10,0,10,0,0
72,3,TRUE,30,15,10,20,10,15
73,3,TRUE,20,10,20,30,10,10
74,3,TRUE,30,0,10,30,10,20
75,3,TRUE,15,15,15,20,20,15
76,4,FALSE,50,10,10,10,10,10
77,4,FALSE,40,5,20,20,10,5
78,4,FALSE,40,5,10,20,10,15
79,4,FALSE,15,15,15,20,15,20
80,4,FALSE,25,20,10,20,10,15
81,4,FALSE,40,5,15,20,10,10
82,4,FALSE,30,15,20,20,5,10
83,4,FALSE,15,25,10,15,10,25
84,4,FALSE,50,5,5,20,0,20
85,4,FALSE,25,15,15,25,10,10
86,4,FALSE,40,10,10,10,10,20
87,4,FALSE,15,15,20,15,15,20
88,4,FALSE,15,15,20,15,20,15
89,4,FALSE,50,10,10,20,5,5
90,4,FALSE,10,25,15,15,10,25
91,4,FALSE,65,0,8,20,2,5
92,4,FALSE,30,10,10,30,10,10
93,4,FALSE,30,15,15,20,10,10
94,4,TRUE,50,0,30,20,0,0
95,4,TRUE,16,15,19,23,14,13
96,4,TRUE,20,25,15,20,10,10
97,4,TRUE,30,10,12,8,30,10
98,4,TRUE,30,14,14,14,14,14
99,4,TRUE,20,20,20,10,25,5
100,4,TRUE,20,15,20,15,15,15
101,4,TRUE,20,10,10,30,10,20
