"iid","wave","is_male","attractiveness","sincerity","intelligence","fun","ambition","shared_interests"
1,1,FALSE,NA,NA,NA,NA,NA,NA
2,1,FALSE,NA,NA,NA,NA,NA,NA
3,1,FALSE,NA,NA,NA,NA,NA,NA
4,1,FALSE,NA,NA,NA,NA,NA,NA
5,1,FALSE,NA,NA,NA,NA,NA,NA
6,1,FALSE,NA,NA,NA,NA,NA,NA
7,1,FALSE,NA,NA,NA,NA,NA,NA
8,1,FALSE,NA,NA,NA,NA,NA,NA
9,1,FALSE,NA,NA,NA,NA,NA,NA
10,1,FALSE,NA,NA,NA,NA,NA,NA
11,1,TRUE,NA,NA,NA,NA,NA,NA
12,1,TRUE,NA,NA,NA,NA,NA,NA
13,1,TRUE,NA,NA,NA,NA,NA,NA
14,1,TRUE,NA,NA,NA,NA,NA,NA
15,1,TRUE,NA,NA,NA,NA,NA,NA
16,1,TRUE,NA,NA,NA,NA,NA,NA
17,1,TRUE,NA,NA,NA,NA,NA,NA
18,1,TRUE,NA,NA,NA,NA,NA,NA
19,1,TRUE,NA,NA,NA,NA,NA,NA
20,1,TRUE,NA,NA,NA,NA,NA,NA
21,2,FALSE,NA,NA,NA,NA,NA,NA
22,2,FALSE,NA,NA,NA,NA,NA,NA
23,2,FALSE,NA,NA,NA,NA,NA,NA
24,2,FALSE,NA,NA,NA,NA,NA,NA
25,2,FALSE,NA,NA,NA,NA,NA,NA
26,2,FALSE,NA,NA,NA,NA,NA,NA
27,2,FALSE,NA,NA,NA,NA,NA,NA
28,2,FALSE,NA,NA,NA,NA,NA,NA
29,2,FALSE,NA,NA,NA,NA,NA,NA
30,2,FALSE,NA,NA,NA,NA,NA,NA
31,2,FALSE,NA,NA,NA,NA,NA,NA
32,2,FALSE,NA,NA,NA,NA,NA,NA
33,2,FALSE,NA,NA,NA,NA,NA,NA
34,2,FALSE,NA,NA,NA,NA,NA,NA
35,2,FALSE,NA,NA,NA,NA,NA,NA
36,2,FALSE,NA,NA,NA,NA,NA,NA
37,2,FALSE,NA,NA,NA,NA,NA,NA
38,2,FALSE,NA,NA,NA,NA,NA,NA
39,2,FALSE,NA,NA,NA,NA,NA,NA
40,2,TRUE,NA,NA,NA,NA,NA,NA
41,2,TRUE,NA,NA,NA,NA,NA,NA
42,2,TRUE,NA,NA,NA,NA,NA,NA
43,2,TRUE,NA,NA,NA,NA,NA,NA
44,2,TRUE,NA,NA,NA,NA,NA,NA
45,2,TRUE,NA,NA,NA,NA,NA,NA
46,2,TRUE,NA,NA,NA,NA,NA,NA
47,2,TRUE,NA,NA,NA,NA,NA,NA
48,2,TRUE,NA,NA,NA,NA,NA,NA
49,2,TRUE,NA,NA,NA,NA,NA,NA
50,2,TRUE,NA,NA,NA,NA,NA,NA
51,2,TRUE,NA,NA,NA,NA,NA,NA
52,2,TRUE,NA,NA,NA,NA,NA,NA
53,2,TRUE,NA,NA,NA,NA,NA,NA
54,2,TRUE,NA,NA,NA,NA,NA,NA
55,2,TRUE,NA,NA,NA,NA,NA,NA
56,3,FALSE,NA,NA,NA,NA,NA,NA
57,3,FALSE,NA,NA,NA,NA,NA,NA
58,3,FALSE,NA,NA,NA,NA,NA,NA
59,3,FALSE,NA,NA,NA,NA,NA,NA
60,3,FALSE,NA,NA,NA,NA,NA,NA
61,3,FALSE,NA,NA,NA,NA,NA,NA
62,3,FALSE,NA,NA,NA,NA,NA,NA
63,3,FALSE,NA,NA,NA,NA,NA,NA
64,3,FALSE,NA,NA,NA,NA,NA,NA
65,3,FALSE,NA,NA,NA,NA,NA,NA
66,3,TRUE,NA,NA,NA,NA,NA,NA
67,3,TRUE,NA,NA,NA,NA,NA,NA
68,3,TRUE,NA,NA,NA,NA,NA,NA
69,3,TRUE,NA,NA,NA,NA,NA,NA
70,3,TRUE,NA,NA,NA,NA,NA,NA
71,3,TRUE,NA,NA,NA,NA,NA,NA
72,3,TRUE,NA,NA,NA,NA,NA,NA
73,3,TRUE,NA,NA,NA,NA,NA,NA
74,3,TRUE,NA,NA,NA,NA,NA,NA
75,3,TRUE,NA,NA,NA,NA,NA,NA
76,4,FALSE,NA,NA,NA,NA,NA,NA
77,4,FALSE,NA,NA,NA,NA,NA,NA
78,4,FALSE,NA,NA,NA,NA,NA,NA
79,4,FALSE,NA,NA,NA,NA,NA,NA
80,4,FALSE,NA,NA,NA,NA,NA,NA
81,4,FALSE,NA,NA,NA,NA,NA,NA
82,4,FALSE,NA,NA,NA,NA,NA,NA
83,4,FALSE,NA,NA,NA,NA,NA,NA
84,4,FALSE,NA,NA,NA,NA,NA,NA
85,4,FALSE,NA,NA,NA,NA,NA,NA
86,4,FALSE,NA,NA,NA,NA,NA,NA
87,4,FALSE,NA,NA,NA,NA,NA,NA
88,4,FALSE,NA,NA,NA,NA,NA,NA
89,4,FALSE,NA,NA,NA,NA,NA,NA
90,4,FALSE,NA,NA,NA,NA,NA,NA
91,4,FALSE,NA,NA,NA,NA,NA,NA
92,4,FALSE,NA,NA,NA,NA,NA,NA
93,4,FALSE,NA,NA,NA,NA,NA,NA
94,4,TRUE,NA,NA,NA,NA,NA,NA
95,4,TRUE,NA,NA,NA,NA,NA,NA
96,4,TRUE,NA,NA,NA,NA,NA,NA
97,4,TRUE,NA,NA,NA,NA,NA,NA
98,4,TRUE,NA,NA,NA,NA,NA,NA
99,4,TRUE,NA,NA,NA,NA,NA,NA
100,4,TRUE,NA,NA,NA,NA,NA,NA
101,4,TRUE,NA,NA,NA,NA,NA,NA
102,4,TRUE,NA,NA,NA,NA,NA,NA
103,4,TRUE,NA,NA,NA,NA,NA,NA
104,4,TRUE,NA,NA,NA,NA,NA,NA
105,4,TRUE,NA,NA,NA,NA,NA,NA
106,4,TRUE,NA,NA,NA,NA,NA,NA
107,4,TRUE,NA,NA,NA,NA,NA,NA
108,4,TRUE,NA,NA,NA,NA,NA,NA
109,4,TRUE,NA,NA,NA,NA,NA,NA
110,4,TRUE,NA,NA,NA,NA,NA,NA
111,4,TRUE,NA,NA,NA,NA,NA,NA
112,5,FALSE,NA,NA,NA,NA,NA,NA
113,5,FALSE,NA,NA,NA,NA,NA,NA
114,5,FALSE,NA,NA,NA,NA,NA,NA
115,5,FALSE,NA,NA,NA,NA,NA,NA
116,5,FALSE,NA,NA,NA,NA,NA,NA
117,5,FALSE,NA,NA,NA,NA,NA,NA
119,5,FALSE,NA,NA,NA,NA,NA,NA
120,5,FALSE,NA,NA,NA,NA,NA,NA
121,5,FALSE,NA,NA,NA,NA,NA,NA
122,5,TRUE,NA,NA,NA,NA,NA,NA
123,5,TRUE,NA,NA,NA,NA,NA,NA
124,5,TRUE,NA,NA,NA,NA,NA,NA
125,5,TRUE,NA,NA,NA,NA,NA,NA
126,5,TRUE,NA,NA,NA,NA,NA,NA
127,5,TRUE,NA,NA,NA,NA,NA,NA
128,5,TRUE,NA,NA,NA,NA,NA,NA
129,5,TRUE,NA,NA,NA,NA,NA,NA
130,5,TRUE,NA,NA,NA,NA,NA,NA
131,5,TRUE,NA,NA,NA,NA,NA,NA
132,6,FALSE,10,7,7,7,5,7
133,6,FALSE,7,7,7,7,6,7
134,6,FALSE,6,9,9,7,7,6
135,6,FALSE,8,8,8,9,9,7
136,6,FALSE,NA,NA,NA,NA,NA,NA
137,6,TRUE,9,6,5,8,5,8
138,6,TRUE,9,9,7,8,3,7
139,6,TRUE,10,9,8,9,3,8
140,6,TRUE,7,9,8,7,7,9
141,6,TRUE,10,9,4,7,8,8
142,7,FALSE,8,7,6,7,6,6
143,7,FALSE,5,8,9,8,9,10
144,7,FALSE,8,7,7,7,6,7
145,7,FALSE,9,8,9,8,9,9
146,7,FALSE,9,6,7,9,6,8
147,7,FALSE,9,9,9,9,9,9
148,7,FALSE,9,9,9,9,9,9
149,7,FALSE,10,4,7,9,8,2
150,7,FALSE,7,7,6,5,5,5
151,7,FALSE,8,6,7,8,9,6
152,7,FALSE,7,9,7,7,7,5
153,7,FALSE,7,8,8,8,8,7
154,7,FALSE,9,9,9,9,9,9
155,7,FALSE,8,8,7,9,7,7
156,7,FALSE,10,8,8,10,8,9
157,7,FALSE,8,8,7,7,6,6
158,7,TRUE,9,7,6,7,4,8
159,7,TRUE,8,8,6,7,2,5
160,7,TRUE,9,7,8,8,7,7
161,7,TRUE,8,8,9,9,9,7
162,7,TRUE,8,7,7,8,6,7
163,7,TRUE,8,8,8,8,8,8
164,7,TRUE,8,5,5,5,5,5
165,7,TRUE,10,6,6,8,2,6
166,7,TRUE,10,8,8,8,6,7
167,7,TRUE,9,5,6,8,5,5
168,7,TRUE,8,8,8,8,8,8
169,7,TRUE,10,6,7,9,6,9
170,7,TRUE,8,7,7,9,5,7
171,7,TRUE,9,8,8,8,8,5
172,7,TRUE,9,6,4,5,3,5
173,7,TRUE,8,7,6,8,7,5
174,8,FALSE,8,8,6,8,5,8
175,8,FALSE,10,5,6,7,8,6
176,8,FALSE,8,9,8,8,7,6
177,8,FALSE,10,7,5,6,6,6
178,8,FALSE,9,5,7,9,5,8
179,8,FALSE,7,10,8,7,6,9
180,8,FALSE,8,8,6,7,5,7
181,8,FALSE,10,7,7,10,9,10
182,8,FALSE,10,6,9,8,8,4
183,8,FALSE,6,9,9,8,7,6
184,8,TRUE,8,8,8,8,8,8
185,8,TRUE,8,10,10,10,10,8
186,8,TRUE,7,4,6,8,6,4
187,8,TRUE,10,6,6,10,2,5
188,8,TRUE,9,7,7,7,7,9
189,8,TRUE,9,7,7,8,7,7
190,8,TRUE,9,7,8,9,8,7
191,8,TRUE,8,7,6,5,4,5
192,8,TRUE,9,6,5,8,4,6
193,8,TRUE,10,5,5,7,5,3
194,9,FALSE,10,7,8,9,7,9
195,9,FALSE,7,9,7,9,10,8
196,9,FALSE,8,8,7,7,7,7
197,9,FALSE,9,6,9,9,7,6
198,9,FALSE,9,9,9,9,9,9
199,9,FALSE,6,5,7,6,7,6
200,9,FALSE,8,7,7,8,9,8
201,9,FALSE,7,9,7,8,8,7
202,9,FALSE,8,9,6,9,9,5
203,9,FALSE,6,9,7,6,8,4
204,9,FALSE,8,5,7,7,5,5
205,9,FALSE,10,7,7,9,7,9
206,9,FALSE,9,7,8,10,8,9
207,9,FALSE,9,9,9,10,7,7
208,9,FALSE,9,7,6,8,7,7
209,9,FALSE,7,7,8,7,8,8
210,9,FALSE,9,8,4,8,4,9
211,9,FALSE,8,8,10,10,8,7
212,9,FALSE,9,6,6,9,6,6
213,9,FALSE,9,10,10,10,10,9
214,9,TRUE,10,7,7,8,6,3
215,9,TRUE,10,9,6,10,3,8
216,9,TRUE,10,6,6,10,10,8
217,9,TRUE,10,4,8,7,1,4
218,9,TRUE,10,5,2,4,2,4
219,9,TRUE,8,5,8,9,6,8
220,9,TRUE,9,8,8,9,9,10
221,9,TRUE,9,4,3,10,3,6
222,9,TRUE,10,6,2,9,3,8
223,9,TRUE,9,5,2,7,2,2
224,9,TRUE,10,10,8,10,5,9
225,9,TRUE,8,6,4,5,6,7
226,9,TRUE,10,3,6,6,3,8
227,9,TRUE,10,8,8,8,6,8
228,9,TRUE,8,3,5,7,4,7
229,9,TRUE,10,4,4,10,1,1
230,9,TRUE,10,10,10,10,10,10
231,9,TRUE,9,3,4,9,8,8
232,9,TRUE,9,7,8,7,7,7
233,9,TRUE,7,8,7,8,7,8
234,10,FALSE,10,20,20,20,15,15
235,10,FALSE,20,15,10,25,10,20
236,10,FALSE,25,15,15,20,15,10
237,10,FALSE,30,10,10,30,10,10
238,10,FALSE,40,10,25,10,10,5
239,10,FALSE,20,15,15,15,20,15
240,10,FALSE,40,5,10,25,10,10
241,10,FALSE,15,35,15,10,10,15
242,10,FALSE,25,15,20,25,5,10
243,10,TRUE,25,20,15,20,5,15
244,10,TRUE,40,10,10,30,5,5
245,10,TRUE,30,10,12,18,15,15
246,10,TRUE,45,5,5,30,5,10
247,10,TRUE,35,20,5,25,0,15
248,10,TRUE,35,5,15,30,5,10
249,10,TRUE,35,15,5,25,5,20
250,10,TRUE,30,20,10,20,5,15
251,10,TRUE,30,10,30,10,10,10
252,11,FALSE,30,20,10,30,0,10
253,11,FALSE,30,20,10,25,5,20
254,11,FALSE,25,10,15,15,15,20
255,11,FALSE,50,10,10,10,10,10
256,11,FALSE,20,15,15,20,10,20
257,11,FALSE,50,10,10,10,10,10
258,11,FALSE,18,13,14,10,33,12
259,11,FALSE,15,17,16,18,17,17
260,11,FALSE,25,10,20,20,15,10
