"iid","is_male","attractiveness","sincerity","intelligence","fun","ambition"
1,FALSE,NA,NA,NA,NA,NA
2,FALSE,NA,NA,NA,NA,NA
3,FALSE,NA,NA,NA,NA,NA
4,FALSE,NA,NA,NA,NA,NA
5,FALSE,NA,NA,NA,NA,NA
6,FALSE,NA,NA,NA,NA,NA
7,FALSE,NA,NA,NA,NA,NA
8,FALSE,NA,NA,NA,NA,NA
9,FALSE,NA,NA,NA,NA,NA
10,FALSE,NA,NA,NA,NA,NA
11,TRUE,NA,NA,NA,NA,NA
12,TRUE,NA,NA,NA,NA,NA
13,TRUE,NA,NA,NA,NA,NA
14,TRUE,NA,NA,NA,NA,NA
15,TRUE,NA,NA,NA,NA,NA
16,TRUE,NA,NA,NA,NA,NA
17,TRUE,NA,NA,NA,NA,NA
18,TRUE,NA,NA,NA,NA,NA
19,TRUE,NA,NA,NA,NA,NA
20,TRUE,NA,NA,NA,NA,NA
21,FALSE,NA,NA,NA,NA,NA
22,FALSE,NA,NA,NA,NA,NA
23,FALSE,NA,NA,NA,NA,NA
24,FALSE,NA,NA,NA,NA,NA
25,FALSE,NA,NA,NA,NA,NA
26,FALSE,NA,NA,NA,NA,NA
27,FALSE,NA,NA,NA,NA,NA
28,FALSE,NA,NA,NA,NA,NA
29,FALSE,NA,NA,NA,NA,NA
30,FALSE,NA,NA,NA,NA,NA
31,FALSE,NA,NA,NA,NA,NA
32,FALSE,NA,NA,NA,NA,NA
33,FALSE,NA,NA,NA,NA,NA
34,FALSE,NA,NA,NA,NA,NA
35,FALSE,NA,NA,NA,NA,NA
36,FALSE,NA,NA,NA,NA,NA
37,FALSE,NA,NA,NA,NA,NA
38,FALSE,NA,NA,NA,NA,NA
39,FALSE,NA,NA,NA,NA,NA
40,TRUE,NA,NA,NA,NA,NA
41,TRUE,NA,NA,NA,NA,NA
42,TRUE,NA,NA,NA,NA,NA
43,TRUE,NA,NA,NA,NA,NA
44,TRUE,NA,NA,NA,NA,NA
45,TRUE,NA,NA,NA,NA,NA
46,TRUE,NA,NA,NA,NA,NA
47,TRUE,NA,NA,NA,NA,NA
48,TRUE,NA,NA,NA,NA,NA
49,TRUE,NA,NA,NA,NA,NA
50,TRUE,NA,NA,NA,NA,NA
51,TRUE,NA,NA,NA,NA,NA
52,TRUE,NA,NA,NA,NA,NA
53,TRUE,NA,NA,NA,NA,NA
54,TRUE,NA,NA,NA,NA,NA
55,TRUE,NA,NA,NA,NA,NA
56,FALSE,NA,NA,NA,NA,NA
57,FALSE,NA,NA,NA,NA,NA
58,FALSE,NA,NA,NA,NA,NA
59,FALSE,NA,NA,NA,NA,NA
60,FALSE,NA,NA,NA,NA,NA
61,FALSE,NA,NA,NA,NA,NA
62,FALSE,NA,NA,NA,NA,NA
63,FALSE,NA,NA,NA,NA,NA
64,FALSE,NA,NA,NA,NA,NA
65,FALSE,NA,NA,NA,NA,NA
66,TRUE,NA,NA,NA,NA,NA
67,TRUE,NA,NA,NA,NA,NA
68,TRUE,NA,NA,NA,NA,NA
69,TRUE,NA,NA,NA,NA,NA
70,TRUE,NA,NA,NA,NA,NA
71,TRUE,NA,NA,NA,NA,NA
72,TRUE,NA,NA,NA,NA,NA
73,TRUE,NA,NA,NA,NA,NA
74,TRUE,NA,NA,NA,NA,NA
75,TRUE,NA,NA,NA,NA,NA
76,FALSE,NA,NA,NA,NA,NA
77,FALSE,NA,NA,NA,NA,NA
78,FALSE,NA,NA,NA,NA,NA
79,FALSE,NA,NA,NA,NA,NA
80,FALSE,NA,NA,NA,NA,NA
81,FALSE,NA,NA,NA,NA,NA
82,FALSE,NA,NA,NA,NA,NA
83,FALSE,NA,NA,NA,NA,NA
84,FALSE,NA,NA,NA,NA,NA
85,FALSE,NA,NA,NA,NA,NA
86,FALSE,NA,NA,NA,NA,NA
87,FALSE,NA,NA,NA,NA,NA
88,FALSE,NA,NA,NA,NA,NA
89,FALSE,NA,NA,NA,NA,NA
90,FALSE,NA,NA,NA,NA,NA
91,FALSE,NA,NA,NA,NA,NA
92,FALSE,NA,NA,NA,NA,NA
93,FALSE,NA,NA,NA,NA,NA
94,TRUE,NA,NA,NA,NA,NA
95,TRUE,NA,NA,NA,NA,NA
96,TRUE,NA,NA,NA,NA,NA
97,TRUE,NA,NA,NA,NA,NA
98,TRUE,NA,NA,NA,NA,NA
99,TRUE,NA,NA,NA,NA,NA
100,TRUE,NA,NA,NA,NA,NA
101,TRUE,NA,NA,NA,NA,NA
102,TRUE,NA,NA,NA,NA,NA
103,TRUE,NA,NA,NA,NA,NA
104,TRUE,NA,NA,NA,NA,NA
105,TRUE,NA,NA,NA,NA,NA
106,TRUE,NA,NA,NA,NA,NA
107,TRUE,NA,NA,NA,NA,NA
108,TRUE,NA,NA,NA,NA,NA
109,TRUE,NA,NA,NA,NA,NA
110,TRUE,NA,NA,NA,NA,NA
111,TRUE,NA,NA,NA,NA,NA
112,FALSE,NA,NA,NA,NA,NA
113,FALSE,NA,NA,NA,NA,NA
114,FALSE,NA,NA,NA,NA,NA
115,FALSE,NA,NA,NA,NA,NA
116,FALSE,NA,NA,NA,NA,NA
117,FALSE,NA,NA,NA,NA,NA
119,FALSE,NA,NA,NA,NA,NA
120,FALSE,NA,NA,NA,NA,NA
121,FALSE,NA,NA,NA,NA,NA
122,TRUE,NA,NA,NA,NA,NA
123,TRUE,NA,NA,NA,NA,NA
124,TRUE,NA,NA,NA,NA,NA
125,TRUE,NA,NA,NA,NA,NA
126,TRUE,NA,NA,NA,NA,NA
127,TRUE,NA,NA,NA,NA,NA
128,TRUE,NA,NA,NA,NA,NA
129,TRUE,NA,NA,NA,NA,NA
130,TRUE,NA,NA,NA,NA,NA
131,TRUE,NA,NA,NA,NA,NA
132,FALSE,NA,NA,NA,NA,NA
133,FALSE,NA,NA,NA,NA,NA
134,FALSE,NA,NA,NA,NA,NA
135,FALSE,NA,NA,NA,NA,NA
136,FALSE,NA,NA,NA,NA,NA
137,TRUE,NA,NA,NA,NA,NA
138,TRUE,NA,NA,NA,NA,NA
139,TRUE,NA,NA,NA,NA,NA
140,TRUE,NA,NA,NA,NA,NA
141,TRUE,NA,NA,NA,NA,NA
142,FALSE,NA,NA,NA,NA,NA
143,FALSE,NA,NA,NA,NA,NA
144,FALSE,NA,NA,NA,NA,NA
145,FALSE,NA,NA,NA,NA,NA
146,FALSE,NA,NA,NA,NA,NA
147,FALSE,NA,NA,NA,NA,NA
148,FALSE,NA,NA,NA,NA,NA
149,FALSE,NA,NA,NA,NA,NA
150,FALSE,NA,NA,NA,NA,NA
151,FALSE,NA,NA,NA,NA,NA
152,FALSE,NA,NA,NA,NA,NA
153,FALSE,NA,NA,NA,NA,NA
154,FALSE,NA,NA,NA,NA,NA
155,FALSE,NA,NA,NA,NA,NA
156,FALSE,NA,NA,NA,NA,NA
157,FALSE,NA,NA,NA,NA,NA
158,TRUE,NA,NA,NA,NA,NA
159,TRUE,NA,NA,NA,NA,NA
160,TRUE,NA,NA,NA,NA,NA
161,TRUE,NA,NA,NA,NA,NA
162,TRUE,NA,NA,NA,NA,NA
163,TRUE,NA,NA,NA,NA,NA
164,TRUE,NA,NA,NA,NA,NA
165,TRUE,NA,NA,NA,NA,NA
166,TRUE,NA,NA,NA,NA,NA
167,TRUE,NA,NA,NA,NA,NA
168,TRUE,NA,NA,NA,NA,NA
169,TRUE,NA,NA,NA,NA,NA
170,TRUE,NA,NA,NA,NA,NA
171,TRUE,NA,NA,NA,NA,NA
172,TRUE,NA,NA,NA,NA,NA
173,TRUE,NA,NA,NA,NA,NA
174,FALSE,NA,NA,NA,NA,NA
175,FALSE,NA,NA,NA,NA,NA
176,FALSE,NA,NA,NA,NA,NA
177,FALSE,NA,NA,NA,NA,NA
178,FALSE,NA,NA,NA,NA,NA
179,FALSE,NA,NA,NA,NA,NA
180,FALSE,NA,NA,NA,NA,NA
181,FALSE,NA,NA,NA,NA,NA
182,FALSE,NA,NA,NA,NA,NA
183,FALSE,NA,NA,NA,NA,NA
184,TRUE,NA,NA,NA,NA,NA
185,TRUE,NA,NA,NA,NA,NA
186,TRUE,NA,NA,NA,NA,NA
187,TRUE,NA,NA,NA,NA,NA
188,TRUE,NA,NA,NA,NA,NA
189,TRUE,NA,NA,NA,NA,NA
190,TRUE,NA,NA,NA,NA,NA
191,TRUE,NA,NA,NA,NA,NA
192,TRUE,NA,NA,NA,NA,NA
193,TRUE,NA,NA,NA,NA,NA
194,FALSE,NA,NA,NA,NA,NA
195,FALSE,NA,NA,NA,NA,NA
196,FALSE,NA,NA,NA,NA,NA
197,FALSE,NA,NA,NA,NA,NA
198,FALSE,NA,NA,NA,NA,NA
199,FALSE,NA,NA,NA,NA,NA
200,FALSE,NA,NA,NA,NA,NA
201,FALSE,NA,NA,NA,NA,NA
202,FALSE,NA,NA,NA,NA,NA
203,FALSE,NA,NA,NA,NA,NA
204,FALSE,NA,NA,NA,NA,NA
205,FALSE,NA,NA,NA,NA,NA
206,FALSE,NA,NA,NA,NA,NA
207,FALSE,NA,NA,NA,NA,NA
208,FALSE,NA,NA,NA,NA,NA
209,FALSE,NA,NA,NA,NA,NA
210,FALSE,NA,NA,NA,NA,NA
211,FALSE,NA,NA,NA,NA,NA
212,FALSE,NA,NA,NA,NA,NA
213,FALSE,NA,NA,NA,NA,NA
214,TRUE,NA,NA,NA,NA,NA
215,TRUE,NA,NA,NA,NA,NA
216,TRUE,NA,NA,NA,NA,NA
217,TRUE,NA,NA,NA,NA,NA
218,TRUE,NA,NA,NA,NA,NA
219,TRUE,NA,NA,NA,NA,NA
