"iid","is_male","age","field_of_study","field_of_study_category","undergrad_sch","median_SAT_of_undergrad_sch","tuition_of_undergrad_sch","race","importance_of_race","importance_of_religion","from","median_income_of_zipcode","income","goal_of_participating","freq_of_going_on_dates","freq_of_going_out","intended_career","intended_career_category","sports","tvsports","exercise","dining","museums","art","hiking","gaming","clubbing","reading","tv","theater","movies","concerts","music","shopping","yoga","expectation_of_happiness_of_matches","expected_num_of_people_interested_in_me_out_of_twenty"
1,FALSE,21,"Law","Law","","","","Asian/Pacific Islander/Asian-American",2,4,"Chicago","60,521","69,487.00","To meet new people","Almost never","Several times a week","lawyer",NA,9,2,8,9,1,1,5,1,5,6,9,1,10,10,9,8,1,3,2
2,FALSE,24,"law","Law","","","","European/Causasian-American",2,5,"Alabama","35,223","65,929.00","Seemed like a fun night out","Once a month","Several times a week","law",NA,3,2,7,10,8,6,3,5,8,10,1,9,8,7,8,3,1,4,5
3,FALSE,25,"Economics","Math","","","","European/Causasian-American",8,4,"Connecticut","6,268","","Other","Once a week","Several times a week","Economist",NA,3,8,7,8,5,5,8,4,5,7,8,7,7,7,5,8,7,4,2
4,FALSE,23,"Law","Law","","","","European/Causasian-American",1,1,"Texas","77,096","37,754.00","Seemed like a fun night out","Once a month","Several times a week","lawyer/policy work","Lawyer",1,1,6,7,6,7,7,5,7,7,7,9,7,8,7,1,8,1,2
5,FALSE,21,"Law","Law","","","","European/Causasian-American",8,1,"Bowdoin College","94,022","86,340.00","To meet new people","Twice a month","Several times a week","lawyer","Lawyer",7,4,7,7,6,8,6,6,8,6,8,6,6,3,7,8,3,7,10
6,FALSE,23,"law","Law","","","","Asian/Pacific Islander/Asian-American",1,1,"MD","20,878","60,304.00","Seemed like a fun night out","Once a week","Several times a week","lawyer","Lawyer",10,8,9,7,8,7,9,2,6,9,2,5,6,6,4,1,1,4,3
7,FALSE,22,"Law","Law","","","","Asian/Pacific Islander/Asian-American",2,4,"Southern California","91,360","54,620.00","Seemed like a fun night out","Once a month","Several times a week","Law","Lawyer",5,3,4,10,10,10,2,3,8,8,8,10,10,10,10,10,10,7,3
8,FALSE,25,"Masters in Public Administration","Political Science/International Affairs","","","","European/Causasian-American",1,1,"London, England","0","","Seemed like a fun night out","Once a month","Several times a week","Journalist","Creative Arts/Entertainment",2,2,1,10,9,9,3,2,10,8,10,9,9,6,6,8,6,6,10
9,FALSE,26,"Masters in Public Administration","Political Science/International Affairs","","","","Other",1,1,"Palm Springs, California","0","","Seemed like a fun night out","Twice a month","Several times a week","Congresswoman, and comedian","International/Humanitarian Affairs",4,3,1,8,6,7,2,2,10,8,8,10,10,9,9,8,3,6,15
10,FALSE,26,"Masters of Social Work&Education","Political Science/International Affairs","","","","European/Causasian-American",4,4,"94115","19,335","48,652.00","To meet new people","Several times a year","Several times a week","To create early childhood intervention programs","International/Humanitarian Affairs",9,9,9,7,6,6,7,1,7,8,5,6,7,7,8,7,7,7,10
11,TRUE,27,"Finance","Business/Econ/Finance","","","","European/Causasian-American",7,3,"Argentina","0","","Seemed like a fun night out","Once a month","Twice a month","Academia, Research, Banking, Life","Academic/Research",8,7,2,6,7,5,5,5,4,9,2,4,8,7,8,5,1,7,3
12,TRUE,22,"Law","Law","","","","European/Causasian-American",1,1,"England","14,850","29,237.00","Seemed like a fun night out","Several times a week","Several times a week","Corporate Lawyer","Lawyer",9,7,9,8,7,6,3,3,5,6,6,4,7,7,9,5,5,7,20
13,TRUE,22,"Law","Law","","","","Asian/Pacific Islander/Asian-American",3,5,"Southern California","92,821","","To meet new people","Almost never","Several times a week","Lawyer","Lawyer",7,8,2,9,5,6,4,7,7,6,8,10,8,9,9,8,1,3,4
14,TRUE,23,"Law","Law","","","","European/Causasian-American",1,1,"Cincinnati, Ohio","45,243","56,580.00","To meet new people","Twice a month","Several times a week","Corporate attorney","Lawyer",10,6,8,8,3,3,10,8,8,6,7,3,10,6,8,6,1,8,15
15,TRUE,24,"Law","Law","","","","Latino/Hispanic American",3,1,"Miami","33,183","36,782.00","Seemed like a fun night out","Twice a month","Several times a week","Lawyer","Lawyer",9,7,9,7,4,3,6,7,9,8,6,9,9,6,7,2,1,5,9
16,TRUE,25,"Business","Business/Econ/Finance","","","","European/Causasian-American",9,2,"Milan - Italy","26,900","","Seemed like a fun night out","Once a month","Several times a week","research/financial industry","Banking/Consulting/Finance/Marketing/Business/CEO/Entrepreneur/Admin",7,2,6,7,7,7,5,5,5,8,3,7,8,7,8,6,1,7,10
17,TRUE,30,"political science","Political Science/International Affairs","","","","European/Causasian-American",1,1,"Georgia, USA","30,677","38,548.00","To get a date","Once a week","Twice a week","academics or journalism","Academic/Research",8,2,9,7,7,5,4,2,6,4,2,7,9,7,7,2,2,4,2
18,TRUE,27,"Business","Business/Econ/Finance","","","","European/Causasian-American",8,8,"New York","10,028","52,010.00","Seemed like a fun night out","Several times a year","Several times a week","Financial Services","Banking/Consulting/Finance/Marketing/Business/CEO/Entrepreneur/Admin",5,5,5,9,4,3,4,4,2,6,9,3,9,3,6,2,1,5,2
19,TRUE,28,"money","Business/Econ/Finance","","","","European/Causasian-American",1,1,"california","2,467","","Looking for a serious relationship","Several times a week","Several times a week","ceo","Banking/Consulting/Finance/Marketing/Business/CEO/Entrepreneur/Admin",10,10,10,10,5,5,6,7,9,8,1,1,7,7,7,7,10,10,20
20,TRUE,24,"Finance","Business/Econ/Finance","","","","European/Causasian-American",1,1,"Washington DC","3,031","","Seemed like a fun night out","Several times a week","Several times a week","CEO","Banking/Consulting/Finance/Marketing/Business/CEO/Entrepreneur/Admin",10,10,10,10,9,9,4,10,10,8,3,8,8,6,6,5,10,6,19
21,FALSE,21,"Operations Research","Engineering","","","","Asian/Pacific Islander/Asian-American",8,10,"New Jersey","7,661","","Other","Almost never","Twice a month","Undecided","Undecided",10,8,10,5,5,5,2,1,3,7,10,4,7,4,8,5,2,5,0
22,FALSE,27,"TC (Health Ed)","Education, Academia","","","","Black/African American",1,2,"Ann Arbor, MI","48,104","28,418.00","Seemed like a fun night out","Several times a year","Twice a week","Informatics","Engineer",1,2,2,8,8,8,1,2,6,8,8,8,9,7,7,8,8,4,2
