"iid","is_male","attractiveness","sincerity","intelligence","fun","ambition"
1,FALSE,6,8,8,8,7
2,FALSE,7,5,8,10,3
3,FALSE,8,9,9,8,8
4,FALSE,7,8,7,9,8
5,FALSE,6,3,10,6,8
6,FALSE,5,7,9,8,5
7,FALSE,6,6,7,5,7
8,FALSE,7,4,8,8,8
9,FALSE,7,6,7,10,7
10,FALSE,6,8,6,10,9
11,TRUE,8,9,8,7,5
12,TRUE,9,9,10,9,9
13,TRUE,4,7,8,8,3
14,TRUE,9,9,9,9,9
15,TRUE,7,7,9,7,9
16,TRUE,6,6,8,8,6
17,TRUE,7,7,8,6,4
18,TRUE,6,8,8,6,9
19,TRUE,10,6,10,10,10
20,TRUE,7,7,10,10,10
21,FALSE,5,9,9,7,10
22,FALSE,7,8,8,7,7
23,FALSE,5,8,7,6,8
24,FALSE,7,9,8,9,8
25,FALSE,7,9,8,7,6
26,FALSE,7,8,8,8,8
27,FALSE,6,6,7,7,7
28,FALSE,NA,NA,NA,NA,NA
29,FALSE,6,9,7,8,8
30,FALSE,7,8,8,9,8
31,FALSE,8,8,8,9,9
32,FALSE,7,5,9,9,7
33,FALSE,6,8,8,6,8
34,FALSE,7,7,7,7,8
35,FALSE,8,9,9,9,7
36,FALSE,8,7,8,8,6
37,FALSE,7,8,9,7,5
38,FALSE,8,2,8,7,8
39,FALSE,6,9,8,6,7
40,TRUE,3,10,9,8,5
41,TRUE,5,7,8,5,5
42,TRUE,6,9,8,6,4
43,TRUE,3,8,7,3,2
44,TRUE,7,9,9,8,9
45,TRUE,7,8,8,6,7
46,TRUE,7,8,7,5,7
47,TRUE,8,7,9,9,3
48,TRUE,7,9,7,6,6
49,TRUE,7,10,10,10,8
50,TRUE,8,9,10,9,8
51,TRUE,6,8,10,2,2
52,TRUE,5,8,8,6,7
53,TRUE,8,9,8,8,8
54,TRUE,8,9,8,8,8
55,TRUE,6,10,9,10,10
56,FALSE,10,10,8,9,5
57,FALSE,6,10,9,10,10
58,FALSE,NA,NA,NA,NA,NA
59,FALSE,NA,NA,NA,NA,NA
60,FALSE,7,9,9,9,9
61,FALSE,7,10,10,7,7
62,FALSE,9,9,9,9,9
63,FALSE,6,8,8,9,7
64,FALSE,8,8,9,6,9
65,FALSE,7,9,8,9,9
66,TRUE,6,7,8,7,8
67,TRUE,5,7,7,6,7
68,TRUE,6,8,8,7,8
69,TRUE,5,9,8,5,8
70,TRUE,8,6,9,8,6
71,TRUE,6,8,10,8,10
72,TRUE,7,9,8,8,8
73,TRUE,7,7,7,8,8
74,TRUE,7,9,8,9,7
75,TRUE,7,7,8,8,8
76,FALSE,6,6,8,6,4
77,FALSE,6,8,8,8,8
78,FALSE,3,10,8,3,8
79,FALSE,7,9,7,8,7
80,FALSE,8,8,8,8,8
81,FALSE,8,7,7,8,7
82,FALSE,8,9,8,8,7
83,FALSE,5,9,5,9,5
84,FALSE,7,9,8,7,5
85,FALSE,7,9,8,9,9
86,FALSE,7,9,9,9,4
87,FALSE,9,9,9,9,9
88,FALSE,9,9,9,9,9
89,FALSE,8,9,9,8,10
90,FALSE,5,8,7,5,5
91,FALSE,6,7,9,7,8
92,FALSE,9,10,9,9,9
93,FALSE,8,8,8,8,7
94,TRUE,6,9,9,9,7
95,TRUE,7,9,10,8,7
96,TRUE,7,9,9,9,9
97,TRUE,7,5,6,7,6
98,TRUE,8,8,8,8,8
99,TRUE,10,10,10,10,8
100,TRUE,7,8,9,8,6
101,TRUE,8,8,9,8,9
102,TRUE,8,5,10,7,9
103,TRUE,8,8,9,8,9
104,TRUE,9,8,9,7,9
105,TRUE,8,7,8,9,6
106,TRUE,4,7,9,3,2
107,TRUE,7,9,9,9,6
108,TRUE,4,8,7,3,2
109,TRUE,6,9,9,8,8
110,TRUE,7,9,8,8,7
111,TRUE,5,8,8,5,5
112,FALSE,9,10,9,9,9
113,FALSE,8,10,8,10,9
114,FALSE,7,9,6,8,7
115,FALSE,8,7,9,8,8
116,FALSE,8,9,9,8,9
117,FALSE,8,7,8,8,8
119,FALSE,8,10,10,10,10
120,FALSE,6,8,8,8,9
121,FALSE,2,9,7,9,9
122,TRUE,7,10,8,8,8
123,TRUE,8,7,7,7,8
124,TRUE,8,8,10,10,10
125,TRUE,9,6,9,10,10
126,TRUE,9,10,9,9,9
127,TRUE,8,8,9,9,8
128,TRUE,8,7,8,7,7
129,TRUE,8,8,8,8,8
130,TRUE,5,6,6,6,6
131,TRUE,4,6,6,4,6
132,FALSE,8,10,9,10,10
133,FALSE,6,8,8,7,7
134,FALSE,7,8,8,8,8
135,FALSE,9,10,9,7,6
136,FALSE,NA,NA,NA,NA,NA
137,TRUE,7,9,9,8,8
138,TRUE,8,8,8,8,8
139,TRUE,8,8,9,9,6
140,TRUE,7,7,8,9,8
141,TRUE,7,9,8,8,6
142,FALSE,9,9,10,9,7
143,FALSE,7,10,8,7,7
144,FALSE,7,8,9,8,9
145,FALSE,5,5,9,7,7
146,FALSE,8,8,8,8,8
147,FALSE,8,7,9,8,7
148,FALSE,8,9,9,9,8
149,FALSE,8,8,8,8,8
150,FALSE,7,9,9,8,8
151,FALSE,9,10,10,10,8
152,FALSE,7,9,10,8,8
153,FALSE,7,7,7,6,6
