"iid","is_male","attractiveness","sincerity","intelligence","fun","ambition"
1,FALSE,6,7,8,7,6
2,FALSE,7,6,8,9,4
3,FALSE,NA,NA,NA,NA,NA
4,FALSE,6,8,7,8,6
5,FALSE,6,6,9,9,9
6,FALSE,5,8,9,8,3
7,FALSE,NA,NA,NA,NA,NA
8,FALSE,NA,NA,NA,NA,NA
9,FALSE,7,10,8,10,9
10,FALSE,10,5,10,10,10
11,TRUE,8,8,8,6,5
12,TRUE,NA,NA,NA,NA,NA
13,TRUE,3,7,7,8,2
14,TRUE,9,9,9,9,9
15,TRUE,7,7,9,7,9
16,TRUE,6,7,8,8,7
17,TRUE,6,7,8,5,7
18,TRUE,6,8,8,6,9
19,TRUE,NA,NA,NA,NA,NA
20,TRUE,NA,NA,NA,NA,NA
21,FALSE,6,9,9,7,10
22,FALSE,6,7,7,7,7
23,FALSE,5,7,7,6,7
24,FALSE,8,9,8,9,8
25,FALSE,8,8,8,8,6
26,FALSE,NA,NA,NA,NA,NA
27,FALSE,6,7,5,7,8
28,FALSE,NA,NA,NA,NA,NA
29,FALSE,7,8,6,7,7
30,FALSE,6,8,8,9,8
31,FALSE,8,6,8,8,8
32,FALSE,7,5,9,9,9
33,FALSE,6,8,8,7,8
34,FALSE,7,2,4,7,5
35,FALSE,8,9,9,8,8
36,FALSE,8,7,7,8,7
37,FALSE,6,6,9,6,4
38,FALSE,8,2,8,2,6
39,FALSE,6,10,8,6,7
40,TRUE,4,10,8,7,6
41,TRUE,5,5,5,5,5
42,TRUE,7,9,8,6,6
43,TRUE,4,7,6,3,2
44,TRUE,6,9,8,7,9
45,TRUE,7,8,8,6,7
46,TRUE,8,7,7,8,7
47,TRUE,8,7,7,7,9
48,TRUE,8,8,7,7,6
49,TRUE,7,6,8,8,7
50,TRUE,7,9,9,9,9
51,TRUE,6,9,10,3,2
52,TRUE,5,7,8,5,7
53,TRUE,8,9,8,8,8
54,TRUE,7,9,8,7,8
55,TRUE,6,10,9,9,10
56,FALSE,9,9,7,9,7
57,FALSE,5,9,9,10,9
58,FALSE,9,8,8,9,8
59,FALSE,NA,NA,NA,NA,NA
60,FALSE,NA,NA,NA,NA,NA
61,FALSE,7,7,9,7,7
62,FALSE,9,9,9,9,9
63,FALSE,5,5,9,9,3
64,FALSE,8,8,8,5,8
65,FALSE,8,9,8,9,9
66,TRUE,6,7,10,7,8
67,TRUE,7,7,7,8,8
68,TRUE,6,7,8,9,8
69,TRUE,5,8,9,5,8
70,TRUE,6,3,5,7,6
71,TRUE,4,7,8,8,7
72,TRUE,6,7,7,7,8
73,TRUE,7,8,9,8,8
74,TRUE,7,9,8,9,7
75,TRUE,8,7,8,7,8
76,FALSE,6,2,8,8,3
77,FALSE,5,5,7,8,8
78,FALSE,4,9,6,1,6
79,FALSE,NA,NA,NA,NA,NA
80,FALSE,8,9,8,8,8
81,FALSE,7,8,7,9,7
82,FALSE,8,9,8,10,8
83,FALSE,5,10,8,9,7
84,FALSE,7,9,8,7,5
85,FALSE,7,9,8,8,8
86,FALSE,7,8,9,9,5
87,FALSE,9,9,9,9,9
88,FALSE,9,10,10,9,9
89,FALSE,7,10,8,6,10
90,FALSE,3,7,8,6,2
91,FALSE,8,7,8,7,7
92,FALSE,7,9,9,9,8
93,FALSE,7,7,7,8,6
94,TRUE,7,9,8,10,9
95,TRUE,8,9,10,8,7
96,TRUE,7,9,9,7,9
97,TRUE,7,5,6,7,5
98,TRUE,8,8,8,8,8
99,TRUE,10,8,10,10,8
100,TRUE,8,7,9,8,7
101,TRUE,7,8,9,7,9
102,TRUE,8,7,8,6,7
103,TRUE,8,8,9,8,9
104,TRUE,8,7,8,7,8
105,TRUE,8,6,8,9,5
106,TRUE,5,9,9,5,2
107,TRUE,8,9,9,9,6
108,TRUE,3,8,6,4,2
109,TRUE,6,9,9,7,8
110,TRUE,7,9,9,8,8
111,TRUE,NA,NA,NA,NA,NA
112,FALSE,9,10,9,9,9
113,FALSE,8,7,8,10,7
114,FALSE,7,9,8,6,7
115,FALSE,8,8,9,8,7
116,FALSE,9,9,8,9,8
117,FALSE,7,6,7,7,7
119,FALSE,8,10,10,10,10
120,FALSE,8,9,7,8,8
121,FALSE,2,5,4,3,3
122,TRUE,8,10,8,8,8
123,TRUE,7,7,7,6,7
124,TRUE,8,7,10,8,10
125,TRUE,9,7,9,9,8
126,TRUE,8,10,9,9,9
127,TRUE,8,5,10,10,8
128,TRUE,8,8,8,8,7
129,TRUE,8,7,8,7,10
130,TRUE,6,7,7,5,6
131,TRUE,NA,NA,NA,NA,NA
132,FALSE,9,10,8,10,10
133,FALSE,6,7,7,6,7
134,FALSE,7,8,9,7,9
135,FALSE,8,10,9,6,6
136,FALSE,NA,NA,NA,NA,NA
137,TRUE,NA,NA,NA,NA,NA
138,TRUE,8,8,8,8,8
139,TRUE,8,9,9,9,7
140,TRUE,7,7,7,7,7
141,TRUE,7,8,8,8,6
142,FALSE,8,10,10,8,6
143,FALSE,6,6,7,5,6
144,FALSE,8,9,9,9,9
145,FALSE,7,7,9,7,8
146,FALSE,NA,NA,NA,NA,NA
147,FALSE,8,8,9,9,8
148,FALSE,NA,NA,NA,NA,NA
149,FALSE,7,8,8,8,8
150,FALSE,6,9,9,8,7
151,FALSE,9,9,9,9,8
152,FALSE,8,7,9,8,8
153,FALSE,7,7,7,7,7
154,FALSE,NA,NA,NA,NA,NA
155,FALSE,7,9,7,6,9
156,FALSE,8,9,9,9,10
157,FALSE,7,8,8,9,9
158,TRUE,6,9,9,7,6
159,TRUE,7,9,9,8,8
160,TRUE,8,8,8,9,9
161,TRUE,8,8,10,10,5
162,TRUE,7,7,9,7,8
163,TRUE,7,8,9,8,7
164,TRUE,8,9,9,6,3
165,TRUE,8,7,9,5,3
166,TRUE,7,7,7,7,5
167,TRUE,6,5,6,6,4
168,TRUE,NA,NA,NA,NA,NA
169,TRUE,8,9,8,7,7
170,TRUE,6,8,9,5,8
171,TRUE,10,10,10,10,10
172,TRUE,6,5,8,9,9
173,TRUE,7,8,8,8,8
174,FALSE,9,10,7,7,7
175,FALSE,7,8,7,8,9
176,FALSE,7,8,8,6,6
177,FALSE,9,8,9,8,10
178,FALSE,9,9,9,7,8
179,FALSE,7,10,9,7,9
180,FALSE,9,8,8,9,6
181,FALSE,9,9,9,9,9
182,FALSE,8,8,9,9,9
183,FALSE,9,8,8,9,8
184,TRUE,6,10,9,7,5
185,TRUE,9,8,8,7,7
186,TRUE,4,9,7,5,6
187,TRUE,8,9,10,8,8
188,TRUE,7,6,9,7,9
189,TRUE,8,8,8,8,9
190,TRUE,6,7,8,9,6
191,TRUE,7,6,8,7,8
192,TRUE,NA,NA,NA,NA,NA
193,TRUE,7,8,10,7,8
194,FALSE,10,10,10,8,10
195,FALSE,9,7,9,8,7
196,FALSE,9,9,9,9,9
197,FALSE,7,8,9,8,7
198,FALSE,NA,NA,NA,NA,NA
199,FALSE,9,6,9,5,9
200,FALSE,8,10,8,8,9
201,FALSE,8,7,9,9,7
202,FALSE,8,10,10,9,8
203,FALSE,10,7,10,10,10
204,FALSE,10,8,10,9,8
205,FALSE,8,7,10,10,7
206,FALSE,NA,NA,NA,NA,NA
207,FALSE,9,7,9,10,9
208,FALSE,10,10,10,10,10
209,FALSE,NA,NA,NA,NA,NA
210,FALSE,7,7,6,6,6
211,FALSE,9,9,10,9,10
212,FALSE,7,8,7,7,8
213,FALSE,8,10,9,9,9
214,TRUE,8,10,9,9,8
215,TRUE,7,7,9,8,9
216,TRUE,6,10,10,9,10
217,TRUE,7,8,10,5,10
218,TRUE,7,4,10,3,10
219,TRUE,7,8,9,7,7
220,TRUE,10,10,10,10,10
221,TRUE,7,9,8,6,8
222,TRUE,5,9,9,5,5
223,TRUE,7,8,9,7,4
224,TRUE,NA,NA,NA,NA,NA
225,TRUE,6,9,8,8,7
226,TRUE,9,9,9,9,8
227,TRUE,7,9,10,8,10
228,TRUE,5,7,8,4,7
229,TRUE,8,8,10,5,10
230,TRUE,7,7,7,7,4
231,TRUE,7,7,8,8,6
232,TRUE,8,9,8,8,7
233,TRUE,6,7,7,8,8
234,FALSE,8,9,9,9,10
235,FALSE,6,9,8,8,8
236,FALSE,7,9,8,10,8
237,FALSE,5,9,6,4,7
238,FALSE,8,9,8,9,8
239,FALSE,8,9,8,7,4
240,FALSE,5,9,6,6,7
241,FALSE,8,10,8,7,7
242,FALSE,8,9,8,6,3
243,TRUE,7,9,8,7,5
244,TRUE,8,8,9,7,9
245,TRUE,5,6,8,6,7
246,TRUE,7,6,6,7,6
247,TRUE,4,7,6,3,3
248,TRUE,5,6,8,7,8
249,TRUE,7,9,10,9,8
250,TRUE,10,9,10,8,10
251,TRUE,8,10,10,9,8
252,FALSE,8,9,8,9,8
253,FALSE,8,9,9,8,7
254,FALSE,NA,NA,NA,NA,NA
255,FALSE,6,6,6,6,6
256,FALSE,7,8,8,7,7
257,FALSE,7,8,8,7,10
258,FALSE,7,10,9,8,4
259,FALSE,7,8,8,7,8
260,FALSE,7,8,8,7,7
261,FALSE,5,8,8,7,8
262,FALSE,6,9,9,6,3
263,FALSE,8,8,8,10,6
264,FALSE,7,8,8,9,7
265,FALSE,4,7,9,4,10
266,FALSE,8,8,7,8,4
267,FALSE,8,8,8,7,7
268,FALSE,8,8,8,7,8
269,FALSE,7,6,9,7,8
270,FALSE,6,5,7,7,6
271,FALSE,9,10,9,10,10
272,FALSE,9,9,9,9,9
273,TRUE,7,8,7,7,7
274,TRUE,7,7,9,9,8
275,TRUE,10,6,10,5,10
276,TRUE,7,6,8,7,8
277,TRUE,4,8,8,8,5
278,TRUE,9,9,9,9,9
279,TRUE,8,7,9,5,5
280,TRUE,NA,NA,NA,NA,NA
281,TRUE,6,8,7,6,5
282,TRUE,7,7,7,8,10
283,TRUE,9,6,9,8,9
284,TRUE,8,7,7,7,7
285,TRUE,9,9,9,9,9
286,TRUE,5,7,7,7,9
287,TRUE,8,8,8,8,9
288,TRUE,5,7,7,5,7
289,TRUE,3,8,9,9,9
290,TRUE,5,4,10,5,9
291,TRUE,7,9,9,7,9
292,TRUE,10,10,9,8,10
293,TRUE,7,10,10,8,9
294,FALSE,7,9,8,7,9
295,FALSE,7,9,7,8,7
296,FALSE,8,9,10,7,9
297,FALSE,8,10,9,8,9
298,FALSE,7,9,10,9,10
299,FALSE,6,8,7,8,8
300,FALSE,9,9,9,9,9
301,FALSE,8,8,8,8,8
302,FALSE,8,8,9,8,10
303,FALSE,8,10,8,8,7
304,FALSE,7,10,7,10,9
305,FALSE,7,9,8,7,3
306,FALSE,7,8,7,7,6
307,FALSE,6,8,8,7,7
308,TRUE,5,10,9,8,5
309,TRUE,6,10,10,7,6
310,TRUE,NA,NA,NA,NA,NA
311,TRUE,9,9,9,10,3
312,TRUE,8,7,9,7,8
313,TRUE,7,7,8,8,4
314,TRUE,7,8,9,7,7
315,TRUE,NA,NA,NA,NA,NA
316,TRUE,7,8,9,7,9
317,TRUE,7,4,8,8,7
318,TRUE,NA,NA,NA,NA,NA
319,TRUE,6,8,9,10,6
320,TRUE,8,9,10,7,7
321,TRUE,NA,NA,NA,NA,NA
322,FALSE,NA,NA,NA,NA,NA
323,FALSE,7,9,7,7,2
324,FALSE,8,9,8,9,6
325,FALSE,7,8,8,6,7
326,FALSE,7,9,10,9,9
327,FALSE,8,9,8,8,10
328,FALSE,8,9,9,9,9
329,FALSE,8,9,8,4,8
330,FALSE,8,10,8,9,9
331,FALSE,NA,NA,NA,NA,NA
332,TRUE,6,8,7,9,9
333,TRUE,7,6,9,7,9
334,TRUE,8,8,8,8,7
335,TRUE,8,7,8,8,7
336,TRUE,4,8,6,7,8
337,TRUE,6,6,6,6,6
338,TRUE,7,9,9,8,10
339,TRUE,8,3,7,9,6
340,TRUE,7,5,7,6,6
341,FALSE,7,8,7,8,8
342,FALSE,10,10,10,9,10
343,FALSE,7,9,10,7,9
344,FALSE,7,7,8,9,9
345,FALSE,7,9,9,7,7
346,FALSE,6,6,6,6,7
347,FALSE,NA,NA,NA,NA,NA
348,FALSE,7,7,7,7,7
349,FALSE,8,9,9,8,7
350,FALSE,NA,NA,NA,NA,NA
351,FALSE,6,9,9,9,9
352,FALSE,6,10,7,8,7
353,FALSE,NA,NA,NA,NA,NA
354,FALSE,7,8,8,10,9
355,FALSE,6,7,7,8,9
356,FALSE,7,10,9,8,7
357,FALSE,6,7,6,6,6
358,FALSE,NA,NA,NA,NA,NA
359,FALSE,7,10,9,4,8
360,FALSE,7,10,8,7,9
361,TRUE,8,8,9,6,8
362,TRUE,8,8,9,10,9
363,TRUE,6,8,7,7,6
364,TRUE,8,9,10,9,9
365,TRUE,8,4,6,6,6
366,TRUE,7,8,8,9,10
367,TRUE,7,8,8,8,6
368,TRUE,6,7,7,7,6
369,TRUE,7,9,10,9,7
370,TRUE,8,7,8,9,10
371,TRUE,10,10,10,10,10
372,TRUE,7,8,9,9,8
373,TRUE,8,8,9,8,9
374,TRUE,7,7,7,6,6
375,TRUE,8,9,8,9,9
376,TRUE,NA,NA,NA,NA,NA
377,TRUE,7,9,8,7,8
378,TRUE,6,7,9,8,8
379,FALSE,NA,NA,NA,NA,NA
380,FALSE,NA,NA,NA,NA,NA
381,FALSE,7,8,8,8,9
382,FALSE,6,6,6,6,6
383,FALSE,6,8,5,7,6
384,FALSE,7,7,8,9,8
385,FALSE,NA,NA,NA,NA,NA
386,FALSE,7,8,8,7,8
387,FALSE,7,7,7,7,7
388,FALSE,7,8,8,7,7
389,FALSE,8,10,8,10,6
390,FALSE,NA,NA,NA,NA,NA
391,FALSE,7,9,8,8,6
392,FALSE,7,9,9,8,7
393,FALSE,7,8,8,8,7
394,FALSE,8,8,7,7,8
395,FALSE,9,10,9,8,8
396,FALSE,8,9,9,9,8
397,TRUE,7,8,10,7,9
398,TRUE,7,7,9,10,7
399,TRUE,NA,NA,NA,NA,NA
400,TRUE,NA,NA,NA,NA,NA
401,TRUE,8,5,10,7,5
402,TRUE,6,7,10,7,9
403,TRUE,4,8,9,7,9
404,TRUE,7,9,9,8,8
405,TRUE,8,8,9,10,10
406,TRUE,6,7,8,7,8
407,TRUE,7,8,8,7,9
408,TRUE,7,7,7,8,8
409,TRUE,8,8,8,8,7
410,TRUE,NA,NA,NA,NA,NA
411,TRUE,8,7,9,10,7
412,TRUE,7,7,8,8,9
413,TRUE,7,9,8,7,7
414,TRUE,NA,NA,NA,NA,NA
415,TRUE,7,9,10,5,5
416,FALSE,6,7,8,8,7
417,FALSE,7,9,8,4,9
418,FALSE,7,8,8,7,5
419,FALSE,NA,NA,NA,NA,NA
420,FALSE,8,9,10,8,9
421,FALSE,7,8,6,6,6
422,TRUE,8,10,8,8,8
423,TRUE,7,7,9,8,9
424,TRUE,NA,NA,NA,NA,NA
425,TRUE,NA,NA,NA,NA,NA
426,TRUE,NA,NA,NA,NA,NA
427,TRUE,NA,NA,NA,NA,NA
428,TRUE,8,8,8,8,8
429,TRUE,6,9,9,9,9
430,FALSE,5,8,5,9,8
431,FALSE,8,10,9,8,10
432,FALSE,8,9,8,9,8
433,FALSE,7,7,7,8,6
434,FALSE,8,8,8,8,7
435,FALSE,7,9,10,10,10
436,FALSE,8,8,8,10,8
437,FALSE,5,9,8,9,8
438,FALSE,7,8,7,7,7
439,FALSE,NA,NA,NA,NA,NA
440,TRUE,10,10,10,10,10
441,TRUE,8,7,9,8,8
442,TRUE,7,6,7,4,9
443,TRUE,7,7,7,8,8
444,TRUE,8,7,8,8,7
445,TRUE,8,10,10,7,6
446,TRUE,NA,NA,NA,NA,NA
447,TRUE,5,6,6,7,6
448,TRUE,9,9,9,9,9
449,TRUE,7,10,10,10,8
450,TRUE,7,8,9,7,9
451,TRUE,4,5,4,3,4
452,TRUE,7,9,10,7,8
453,TRUE,NA,NA,NA,NA,NA
454,FALSE,8,9,9,9,6
455,FALSE,8,9,8,8,8
