"iid","is_male","attractiveness","sincerity","intelligence","fun","ambition"
1,FALSE,NA,NA,NA,NA,NA
2,FALSE,NA,NA,NA,NA,NA
3,FALSE,NA,NA,NA,NA,NA
4,FALSE,NA,NA,NA,NA,NA
5,FALSE,NA,NA,NA,NA,NA
6,FALSE,NA,NA,NA,NA,NA
7,FALSE,NA,NA,NA,NA,NA
8,FALSE,NA,NA,NA,NA,NA
9,FALSE,NA,NA,NA,NA,NA
10,FALSE,NA,NA,NA,NA,NA
11,TRUE,NA,NA,NA,NA,NA
12,TRUE,NA,NA,NA,NA,NA
13,TRUE,NA,NA,NA,NA,NA
14,TRUE,NA,NA,NA,NA,NA
15,TRUE,NA,NA,NA,NA,NA
16,TRUE,NA,NA,NA,NA,NA
17,TRUE,NA,NA,NA,NA,NA
18,TRUE,NA,NA,NA,NA,NA
19,TRUE,NA,NA,NA,NA,NA
20,TRUE,NA,NA,NA,NA,NA
21,FALSE,NA,NA,NA,NA,NA
22,FALSE,NA,NA,NA,NA,NA
23,FALSE,NA,NA,NA,NA,NA
24,FALSE,NA,NA,NA,NA,NA
25,FALSE,NA,NA,NA,NA,NA
26,FALSE,NA,NA,NA,NA,NA
27,FALSE,NA,NA,NA,NA,NA
28,FALSE,NA,NA,NA,NA,NA
29,FALSE,NA,NA,NA,NA,NA
30,FALSE,NA,NA,NA,NA,NA
31,FALSE,NA,NA,NA,NA,NA
32,FALSE,NA,NA,NA,NA,NA
33,FALSE,NA,NA,NA,NA,NA
34,FALSE,NA,NA,NA,NA,NA
35,FALSE,NA,NA,NA,NA,NA
36,FALSE,NA,NA,NA,NA,NA
37,FALSE,NA,NA,NA,NA,NA
38,FALSE,NA,NA,NA,NA,NA
39,FALSE,NA,NA,NA,NA,NA
40,TRUE,NA,NA,NA,NA,NA
41,TRUE,NA,NA,NA,NA,NA
42,TRUE,NA,NA,NA,NA,NA
43,TRUE,NA,NA,NA,NA,NA
44,TRUE,NA,NA,NA,NA,NA
45,TRUE,NA,NA,NA,NA,NA
46,TRUE,NA,NA,NA,NA,NA
47,TRUE,NA,NA,NA,NA,NA
48,TRUE,NA,NA,NA,NA,NA
49,TRUE,NA,NA,NA,NA,NA
50,TRUE,NA,NA,NA,NA,NA
51,TRUE,NA,NA,NA,NA,NA
52,TRUE,NA,NA,NA,NA,NA
53,TRUE,NA,NA,NA,NA,NA
54,TRUE,NA,NA,NA,NA,NA
55,TRUE,NA,NA,NA,NA,NA
56,FALSE,NA,NA,NA,NA,NA
57,FALSE,NA,NA,NA,NA,NA
58,FALSE,NA,NA,NA,NA,NA
59,FALSE,NA,NA,NA,NA,NA
60,FALSE,NA,NA,NA,NA,NA
61,FALSE,NA,NA,NA,NA,NA
62,FALSE,NA,NA,NA,NA,NA
63,FALSE,NA,NA,NA,NA,NA
64,FALSE,NA,NA,NA,NA,NA
65,FALSE,NA,NA,NA,NA,NA
66,TRUE,NA,NA,NA,NA,NA
67,TRUE,NA,NA,NA,NA,NA
68,TRUE,NA,NA,NA,NA,NA
69,TRUE,NA,NA,NA,NA,NA
70,TRUE,NA,NA,NA,NA,NA
71,TRUE,NA,NA,NA,NA,NA
72,TRUE,NA,NA,NA,NA,NA
73,TRUE,NA,NA,NA,NA,NA
74,TRUE,NA,NA,NA,NA,NA
75,TRUE,NA,NA,NA,NA,NA
76,FALSE,NA,NA,NA,NA,NA
77,FALSE,NA,NA,NA,NA,NA
78,FALSE,NA,NA,NA,NA,NA
79,FALSE,NA,NA,NA,NA,NA
80,FALSE,NA,NA,NA,NA,NA
81,FALSE,NA,NA,NA,NA,NA
82,FALSE,NA,NA,NA,NA,NA
83,FALSE,NA,NA,NA,NA,NA
84,FALSE,NA,NA,NA,NA,NA
85,FALSE,NA,NA,NA,NA,NA
86,FALSE,NA,NA,NA,NA,NA
87,FALSE,NA,NA,NA,NA,NA
88,FALSE,NA,NA,NA,NA,NA
89,FALSE,NA,NA,NA,NA,NA
90,FALSE,NA,NA,NA,NA,NA
91,FALSE,NA,NA,NA,NA,NA
92,FALSE,NA,NA,NA,NA,NA
93,FALSE,NA,NA,NA,NA,NA
94,TRUE,NA,NA,NA,NA,NA
95,TRUE,NA,NA,NA,NA,NA
96,TRUE,NA,NA,NA,NA,NA
97,TRUE,NA,NA,NA,NA,NA
98,TRUE,NA,NA,NA,NA,NA
99,TRUE,NA,NA,NA,NA,NA
100,TRUE,NA,NA,NA,NA,NA
101,TRUE,NA,NA,NA,NA,NA
102,TRUE,NA,NA,NA,NA,NA
103,TRUE,NA,NA,NA,NA,NA
104,TRUE,NA,NA,NA,NA,NA
105,TRUE,NA,NA,NA,NA,NA
106,TRUE,NA,NA,NA,NA,NA
107,TRUE,NA,NA,NA,NA,NA
108,TRUE,NA,NA,NA,NA,NA
109,TRUE,NA,NA,NA,NA,NA
110,TRUE,NA,NA,NA,NA,NA
111,TRUE,NA,NA,NA,NA,NA
112,FALSE,NA,NA,NA,NA,NA
113,FALSE,NA,NA,NA,NA,NA
114,FALSE,NA,NA,NA,NA,NA
115,FALSE,NA,NA,NA,NA,NA
116,FALSE,NA,NA,NA,NA,NA
117,FALSE,NA,NA,NA,NA,NA
119,FALSE,NA,NA,NA,NA,NA
120,FALSE,NA,NA,NA,NA,NA
121,FALSE,NA,NA,NA,NA,NA
122,TRUE,NA,NA,NA,NA,NA
123,TRUE,NA,NA,NA,NA,NA
124,TRUE,NA,NA,NA,NA,NA
125,TRUE,NA,NA,NA,NA,NA
126,TRUE,NA,NA,NA,NA,NA
127,TRUE,NA,NA,NA,NA,NA
128,TRUE,NA,NA,NA,NA,NA
129,TRUE,NA,NA,NA,NA,NA
130,TRUE,NA,NA,NA,NA,NA
131,TRUE,NA,NA,NA,NA,NA
132,FALSE,8,9,8,10,10
133,FALSE,5,8,7,7,5
134,FALSE,7,9,8,7,9
135,FALSE,8,10,5,7,5
136,FALSE,7,9,10,10,10
137,TRUE,7,9,9,8,8
138,TRUE,8,8,8,8,9
139,TRUE,8,10,10,10,7
140,TRUE,7,6,8,8,8
141,TRUE,7,8,8,8,7
142,FALSE,9,10,10,9,8
143,FALSE,NA,NA,NA,NA,NA
144,FALSE,8,9,9,9,9
145,FALSE,7,8,10,7,7
146,FALSE,8,8,8,8,7
147,FALSE,8,8,9,9,8
148,FALSE,8,8,9,7,9
149,FALSE,NA,NA,NA,NA,NA
150,FALSE,8,10,8,8,8
151,FALSE,NA,NA,NA,NA,NA
152,FALSE,NA,NA,NA,NA,NA
153,FALSE,7,7,7,7,7
154,FALSE,8,9,9,9,9
155,FALSE,7,9,7,6,9
156,FALSE,8,10,9,9,10
157,FALSE,7,8,8,9,9
158,TRUE,6,8,9,7,6
159,TRUE,6,9,9,8,8
160,TRUE,8,8,8,9,9
161,TRUE,8,6,9,10,6
162,TRUE,7,7,8,6,8
163,TRUE,7,8,9,7,8
164,TRUE,8,9,9,7,3
165,TRUE,8,8,9,5,5
166,TRUE,6,6,6,6,6
167,TRUE,NA,NA,NA,NA,NA
168,TRUE,6,6,6,6,6
169,TRUE,NA,NA,NA,NA,NA
170,TRUE,6,7,8,6,7
171,TRUE,10,10,10,10,10
172,TRUE,6,7,7,9,8
173,TRUE,7,8,9,8,8
174,FALSE,10,10,7,10,7
175,FALSE,7,7,7,7,7
176,FALSE,7,8,8,5,5
177,FALSE,9,7.5,9,8,9
178,FALSE,9,8,7,6,7
179,FALSE,7,10,8,7,10
180,FALSE,8,6,7,7,6
181,FALSE,8,10,10,10,10
182,FALSE,8,8,9,10,9
183,FALSE,9,9,8,8,8
184,TRUE,5,9,8,7,5
185,TRUE,8,8,7,10,5
186,TRUE,4,9,8,4,6
187,TRUE,9,8,10,8,8
188,TRUE,7,6,9,7,9
189,TRUE,8,9,8,8,10
190,TRUE,5,8,5,9,4
191,TRUE,7,8,8,7,8
192,TRUE,8,7,9,8,9
193,TRUE,7,9,10,8,9
194,FALSE,10,10,10,8,10
195,FALSE,9,7,10,9,6
196,FALSE,NA,NA,NA,NA,NA
197,FALSE,7,8,9,9,6
198,FALSE,6,7,7,6,7
199,FALSE,9,6,9,6,9
200,FALSE,NA,NA,NA,NA,NA
201,FALSE,8,8,9,9,8
202,FALSE,7,10,10,10,9
203,FALSE,10,7,10,10,10
204,FALSE,8,10,8,10,10
205,FALSE,8,8,9,8,5
206,FALSE,8,9,9,7,8
207,FALSE,9,7,9,10,9
208,FALSE,9,10,10,10,10
209,FALSE,7,9,7,9,8
210,FALSE,8,8,7,8,7
211,FALSE,NA,NA,NA,NA,NA
212,FALSE,7,8,7,7,8
213,FALSE,8,10,8,9,9
214,TRUE,NA,NA,NA,NA,NA
215,TRUE,7,9,9,8,9
216,TRUE,6,10,10,9,10
217,TRUE,7,9,9,7,9
218,TRUE,7,5,10,3,10
219,TRUE,7,8,8,7,7
220,TRUE,10,10,10,10,8
221,TRUE,7,8,8,6,9
222,TRUE,5,9,7,6,3
223,TRUE,7,8,9,8,4
224,TRUE,8,10,8,8,8
225,TRUE,5,9,7,8,8
226,TRUE,9,9,9,9,9
227,TRUE,7,8,9,9,9
228,TRUE,5,7,8,4,7
229,TRUE,8,8,9,6,10
230,TRUE,6,8,7,7,5
231,TRUE,7,8,7,8,5
232,TRUE,7,8,8,9,7
233,TRUE,7,8,8,8,8
234,FALSE,8,10,9,10,10
235,FALSE,6,9,8,8,8
236,FALSE,7,9,8,10,9
237,FALSE,4,8,7,6,6
238,FALSE,8,9,8,9,8
239,FALSE,7,9,9,7,4
240,FALSE,5,9,7,7,8
241,FALSE,8,10,7,8,8
242,FALSE,7,9,8,7,3
