"iid","is_male","attractiveness","sincerity","intelligence","fun","ambition"
1,FALSE,5,7,7,7,7
2,FALSE,7,6,9,9,4
3,FALSE,NA,NA,NA,NA,NA
4,FALSE,6,5,6,8,5
5,FALSE,4,5,10,6,10
6,FALSE,NA,NA,NA,NA,NA
7,FALSE,NA,NA,NA,NA,NA
8,FALSE,NA,NA,NA,NA,NA
9,FALSE,NA,NA,NA,NA,NA
10,FALSE,NA,NA,NA,NA,NA
11,TRUE,7,8,7,7,5
12,TRUE,NA,NA,NA,NA,NA
13,TRUE,NA,NA,NA,NA,NA
14,TRUE,9,9,9,9,9
15,TRUE,7,7,9,7,9
16,TRUE,6,6,8,8,8
17,TRUE,7,8,8,6,6
18,TRUE,6,7,8,6,9
19,TRUE,NA,NA,NA,NA,NA
20,TRUE,NA,NA,NA,NA,NA
21,FALSE,5,9,9,7,9
22,FALSE,7,8,8,7,6
23,FALSE,5,7,8,6,8
24,FALSE,NA,NA,NA,NA,NA
25,FALSE,7,9,8,7,7
26,FALSE,NA,NA,NA,NA,NA
27,FALSE,NA,NA,NA,NA,NA
28,FALSE,NA,NA,NA,NA,NA
29,FALSE,7,9,7,7,7
30,FALSE,NA,NA,NA,NA,NA
31,FALSE,8,6,8,8,9
32,FALSE,7,8,10,8,9
33,FALSE,6,8,8,8,7
34,FALSE,NA,NA,NA,NA,NA
35,FALSE,NA,NA,NA,NA,NA
36,FALSE,NA,NA,NA,NA,NA
37,FALSE,5,6,9,6,4
38,FALSE,NA,NA,NA,NA,NA
39,FALSE,7,10,9,7,8
40,TRUE,NA,NA,NA,NA,NA
41,TRUE,NA,NA,NA,NA,NA
42,TRUE,7,9,8,7,6
43,TRUE,3,8,5,3,2
44,TRUE,7,8,9,8,9
45,TRUE,7,7,10,5,7
46,TRUE,8,8,8,7,7
47,TRUE,NA,NA,NA,NA,NA
48,TRUE,8,8,8,9,6
49,TRUE,NA,NA,NA,NA,NA
50,TRUE,NA,NA,NA,NA,NA
51,TRUE,NA,NA,NA,NA,NA
52,TRUE,NA,NA,NA,NA,NA
53,TRUE,8,8,8,8,8
54,TRUE,NA,NA,NA,NA,NA
55,TRUE,NA,NA,NA,NA,NA
56,FALSE,9,10,8,9,7
57,FALSE,5,9,9,10,9
58,FALSE,NA,NA,NA,NA,NA
59,FALSE,NA,NA,NA,NA,NA
60,FALSE,NA,NA,NA,NA,NA
61,FALSE,7,8,8,8,7
62,FALSE,NA,NA,NA,NA,NA
63,FALSE,6,6,7,9,5
64,FALSE,8,9,9,6,9
65,FALSE,8,9,8,9,9
66,TRUE,NA,NA,NA,NA,NA
67,TRUE,NA,NA,NA,NA,NA
68,TRUE,NA,NA,NA,NA,NA
69,TRUE,5,9,9,5,8
70,TRUE,NA,NA,NA,NA,NA
71,TRUE,NA,NA,NA,NA,NA
72,TRUE,6,8,8,7,8
73,TRUE,NA,NA,NA,NA,NA
74,TRUE,7,9,8,9,8
75,TRUE,NA,NA,NA,NA,NA
76,FALSE,6,6,8,6,3
77,FALSE,6,7,7,8,9
78,FALSE,7,7,7,5,6
79,FALSE,NA,NA,NA,NA,NA
80,FALSE,8,8,8,8,8
81,FALSE,8,7,7,8,6
82,FALSE,8,9,8,8,7
83,FALSE,6,10,8,9,7
84,FALSE,7,9,8,7,5
85,FALSE,7,9,8,8,8
86,FALSE,NA,NA,NA,NA,NA
87,FALSE,10,10,9,10,10
88,FALSE,NA,NA,NA,NA,NA
89,FALSE,7,10,9,6,10
90,FALSE,6,6,8,6,4
91,FALSE,7,8,8,7,7
92,FALSE,8,10,8,9,8
93,FALSE,8,8,8,8,7
94,TRUE,NA,NA,NA,NA,NA
95,TRUE,NA,NA,NA,NA,NA
96,TRUE,NA,NA,NA,NA,NA
97,TRUE,8,5,7,6,4
98,TRUE,8,8,8,8,8
99,TRUE,NA,NA,NA,NA,NA
100,TRUE,8,8,9,9,7
101,TRUE,NA,NA,NA,NA,NA
102,TRUE,7,8,9,8,9
103,TRUE,8,8,9,8,9
104,TRUE,NA,NA,NA,NA,NA
105,TRUE,8,7,8,9,7
106,TRUE,3,7,9,3,4
107,TRUE,NA,NA,NA,NA,NA
108,TRUE,3,5,6,2,2
109,TRUE,NA,NA,NA,NA,NA
110,TRUE,8,6,10,8,8
111,TRUE,NA,NA,NA,NA,NA
112,FALSE,NA,NA,NA,NA,NA
113,FALSE,8,9,9,10,7
114,FALSE,NA,NA,NA,NA,NA
115,FALSE,9,8,10,9,8
116,FALSE,8,7,9,8,9
117,FALSE,7,6,7,7,7
119,FALSE,NA,NA,NA,NA,NA
120,FALSE,7,8,9,7,9
121,FALSE,NA,NA,NA,NA,NA
122,TRUE,8,10,8,8,8
123,TRUE,NA,NA,NA,NA,NA
124,TRUE,NA,NA,NA,NA,NA
125,TRUE,NA,NA,NA,NA,NA
126,TRUE,9,10,9,10,9
127,TRUE,8,8,8,8,8
128,TRUE,9,8,9,8,7
129,TRUE,NA,NA,NA,NA,NA
130,TRUE,NA,NA,NA,NA,NA
131,TRUE,4,4,4,4,4
132,FALSE,NA,NA,NA,NA,NA
133,FALSE,4,7,7,7,7
134,FALSE,7,8,8,7,8
135,FALSE,8,9,9,7,5
136,FALSE,9,12,12,12,12
