"iid","is_male","how_many_you_contacted","how_many_contacted_you","has_been_on_date_with_matches","num_matches_gone_out_with","how_many_dates"
1,FALSE,1,1,FALSE,NA,NA
2,FALSE,0,0,FALSE,NA,NA
3,FALSE,NA,NA,NA,NA,NA
4,FALSE,0,0,FALSE,NA,NA
5,FALSE,0,0,FALSE,NA,NA
6,FALSE,NA,NA,NA,NA,NA
7,FALSE,NA,NA,NA,NA,NA
8,FALSE,NA,NA,NA,NA,NA
9,FALSE,NA,NA,NA,NA,NA
10,FALSE,NA,NA,NA,NA,NA
11,TRUE,0,0,FALSE,NA,NA
12,TRUE,NA,NA,NA,NA,NA
13,TRUE,NA,NA,NA,NA,NA
14,TRUE,1,1,FALSE,NA,NA
15,TRUE,3,0,FALSE,NA,NA
16,TRUE,0,0,FALSE,NA,NA
17,TRUE,1,1,FALSE,NA,NA
18,TRUE,1,0,FALSE,NA,NA
19,TRUE,NA,NA,NA,NA,NA
20,TRUE,NA,NA,NA,NA,NA
21,FALSE,0,0,FALSE,NA,NA
22,FALSE,0,0,FALSE,NA,0
23,FALSE,0,0,FALSE,NA,NA
24,FALSE,NA,NA,NA,NA,NA
25,FALSE,0,0,FALSE,NA,NA
26,FALSE,NA,NA,NA,NA,NA
27,FALSE,NA,NA,NA,NA,NA
28,FALSE,NA,NA,NA,NA,NA
29,FALSE,0,1,FALSE,NA,NA
30,FALSE,NA,NA,NA,NA,NA
31,FALSE,0,1,FALSE,NA,NA
32,FALSE,0,0,FALSE,NA,NA
33,FALSE,0,0,FALSE,NA,0
34,FALSE,NA,NA,NA,NA,NA
35,FALSE,NA,NA,NA,NA,NA
36,FALSE,NA,NA,NA,NA,NA
37,FALSE,0,0,FALSE,NA,NA
38,FALSE,NA,NA,NA,NA,NA
39,FALSE,0,0,FALSE,NA,NA
40,TRUE,NA,NA,NA,NA,NA
41,TRUE,NA,NA,NA,NA,NA
42,TRUE,0,0,FALSE,NA,NA
43,TRUE,0,0,FALSE,NA,NA
44,TRUE,1,0,FALSE,NA,NA
45,TRUE,0,0,FALSE,NA,NA
46,TRUE,1,0,FALSE,NA,NA
